cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,cat_feature_10,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,cont_feature_6,cont_feature_7,cont_feature_8,cont_feature_9,cont_feature_10,cont_feature_11,target
4,1,3,2,5,0,1,1,8,6,48.416193345805404,3.083261062471676,46.13785544870219,56.79846346513058,81.40728622853092,81.3063231586768,1.3296817919658421,89.48505912614938,12.867108038443797,70.43005273745241,0.37117818688724435,0
0,3,7,1,1,1,4,5,3,4,27.883936111751684,1.8617471208499214,72.7772533310602,44.25140346878413,5.797346430996964,78.59720297282874,47.96820411756853,38.15697925482022,3.6733547741168437,42.62010501644517,67.67864194797689,0
4,1,6,2,2,2,6,9,0,7,98.8337189036703,62.33076951761668,82.65593485409303,50.78225530807653,96.4032629244434,49.3243744984205,22.87335229996256,7.9297387392807455,9.623224415480514,10.507724039572718,77.92208446849004,0
0,1,5,3,0,2,0,0,2,6,33.341967051760435,36.275945152183496,25.78646940610223,92.85981846259081,87.59029625222612,42.6337286683965,70.1999771973229,66.05654009145542,36.4339447998563,63.538737030179334,42.10775505386859,1
3,2,4,2,1,2,4,1,6,6,0.9272309371215703,64.28824173405529,0.6648045326380858,82.62085743605483,89.6523454455237,20.810846406244554,80.06056992888395,33.64779131933143,18.607465483160247,87.5470395644652,93.36004296226677,1
2,1,4,2,3,3,0,8,1,6,38.50181337684351,8.021723753061917,6.086300717672755,1.6603713989622348,71.56657831329268,85.01764950585039,0.0918041636196465,49.468814999381024,15.178976011467382,43.13648759672597,54.94200652157074,0
3,0,3,2,3,3,6,3,8,4,10.101639235107108,92.68553392300699,15.621365671020515,54.916988696189215,58.61893787731335,37.409158884530726,14.24041005290373,32.789251538750655,86.26066861926414,92.29870078141306,31.492251143845962,0
4,0,5,3,3,1,5,9,8,1,42.738343908356605,54.081841512184006,14.15009687115808,44.951585288036064,48.35872861395628,74.81528994854881,10.06186463451586,59.573294043792956,79.36193958501437,17.265500225495412,79.09652437515093,0
4,3,5,4,5,0,3,8,0,6,15.942884057576311,52.36355574596323,14.637605654917552,49.8487433469744,0.40645856804151226,38.39056184933717,6.194555030130145,52.87940248424259,32.47331629640862,17.593775532547973,71.8159915530928,1
5,1,3,4,2,0,1,2,5,0,18.16807215145497,87.93502818111341,2.613930530465014,85.2440149213919,83.53016831598569,0.7976189321206473,81.04486209430634,35.95961838341572,77.90942650606532,0.2593801141042795,24.11024089772773,1
0,2,4,1,4,2,3,6,0,7,11.120378635376305,86.50472817414975,88.59215790243027,2.779420361423035,84.8695182322148,30.639733557267313,21.58089372711779,91.69308016992589,65.53946876414625,56.32419256678727,85.6613629068648,0
0,2,4,1,5,3,2,8,4,4,50.03742730632514,74.34530841540796,26.615679743987243,96.91353846712445,18.380051114587893,87.41359696629264,92.92894815828502,28.15300231959045,89.08989100796079,91.94860316689709,64.7597981264004,1
5,1,3,4,2,0,5,7,8,7,54.90750868418658,40.92323424628091,3.7032087900454314,40.73757425192106,73.31424860622376,77.35390750991283,29.935267781062347,25.809987065225258,62.87976962728952,38.26023207020366,20.38883991137861,0
0,2,0,1,3,1,5,2,5,4,82.67006786252047,36.849166715292135,88.56813053427847,17.06579024431901,25.648751924763292,77.90984042842334,59.40561523599125,91.25440239369892,24.96515804624746,54.968971864148465,25.060565283457592,0
3,0,6,0,5,0,6,3,8,5,60.97993862247463,98.58801810221851,17.0631783481895,34.87057150634503,8.10102112181873,79.24930430223289,73.60176325025277,26.746405785892037,36.76015552381562,34.182527261682324,8.950776247395497,1
5,2,1,0,3,2,2,0,5,6,88.63066494385275,79.48768077354043,60.53377576093477,59.597184089922614,37.95860873351625,45.180952608464054,84.46156569331745,64.55966009485256,72.11677532065058,3.5608532675585947,57.13530828537149,0
0,2,0,4,2,2,4,3,6,4,34.62185116224254,36.14164429261943,43.28501629258887,33.497712281357316,39.08400942623758,19.673077976700238,36.69687953629017,31.667516734159495,41.69595123407607,67.89426812744081,82.45119326627255,1
2,3,1,2,4,3,4,6,0,4,35.86230865695609,88.17552705220601,63.11011360115364,91.13758854893642,17.079301265550704,76.15270966133941,22.044213329527373,36.44502967132507,78.26989836864492,29.928976589190782,0.5683813306768037,1
0,3,3,1,4,2,5,2,3,3,20.133270562877726,44.461848096379974,69.28896986534824,58.40381596921439,39.953519518534144,62.618882011744624,81.37964784075527,77.29846766606708,97.7715516181458,20.214453499231176,43.082981634157626,0
1,4,1,2,0,2,6,0,3,8,44.12219717040827,14.654287757586836,65.69117147030065,9.213643916217118,19.48285445173905,18.0093553002584,78.21220252932551,36.53273763184798,85.5818542392757,88.51130324208589,22.55103982279151,1
4,0,4,0,5,0,1,9,9,8,27.680757935233245,0.13829370606530667,74.52934823319764,86.39216388613912,33.35060851988296,62.569803520591414,71.4784510787568,36.14453846013739,58.75507805754947,40.587248640760976,84.46971325499018,0
1,0,3,0,4,0,4,9,5,3,1.6915251786806862,72.12005673173853,24.72713260239574,92.40663272062844,62.65336598329567,15.333432242990996,80.00904003015447,49.510792894287626,49.89151208588222,74.37287409111487,77.55410512186283,0
3,2,5,3,3,1,4,0,6,7,29.038530609222846,78.31779031760398,68.91928929756659,67.50963238008588,4.728548294601287,85.82002294214041,46.924672489495364,10.977908200111363,33.466255630879836,12.538488962807982,78.18691697431464,0
3,0,7,0,5,3,4,9,8,8,10.81079740170754,61.10745586312927,39.1963432863211,32.68207005664503,88.97656479823792,25.734226816844664,36.98526143590111,4.261431625001421,40.490551050843926,57.53482555382091,90.19001739457062,0
0,0,3,4,1,3,2,1,4,2,60.1422903674008,59.2469941421409,76.80932371994797,17.56964850598567,4.636358501692229,46.6413419626223,65.45915208322927,55.06215546662601,83.6261942487207,20.042805854473333,25.6012395766825,1
3,2,1,0,3,1,5,5,8,0,51.61071226216218,1.1490151078302424,1.271275624725554,59.37579503990232,55.552149994712806,16.346045571363767,91.27254139556572,51.598555279405055,61.69135140578903,55.85932256103507,63.632330096085646,0
0,4,3,3,0,0,6,3,4,4,3.577377180835961,41.744529284954076,67.08034373521528,52.47295171045449,86.99279232282544,35.06090809092267,15.508445487396582,36.16802262201051,63.70233750935751,51.84094312476459,46.05875084281435,0
1,2,1,4,4,3,6,2,7,5,35.80773499620731,2.9847665209568386,33.46111440384183,35.22897041361297,5.304795922928052,22.749462860060234,89.69462958242713,71.52246665143703,81.8098999237797,99.60304993993732,4.71406592402237,0
0,3,4,0,0,3,1,7,2,7,28.718499741572213,2.0568408391614112,26.30474184166912,8.99278392628462,21.055664900258154,33.624988670760146,10.414954576080893,51.109879748696386,19.14911631295758,13.35013488860054,2.75931348710442,0
0,3,0,3,4,0,1,1,1,7,84.80972703076306,76.15802354647735,42.334085671422905,29.143440414348966,35.13664690096031,62.59143271207408,4.682003511837851,87.97310805241383,20.854378202187185,39.347767849778,87.23017974533403,1
5,2,5,1,1,0,3,0,6,3,28.959199967277605,12.669167402892956,67.25000721189195,0.562307305526355,41.05049904000712,23.327904032776424,16.862745773118082,16.742567366471118,45.645619358239664,93.94537628814552,10.42410409035991,1
4,1,8,0,5,1,2,6,1,7,71.08171505070783,12.083365932669077,67.34115590334922,98.66503694635323,51.41564154747144,30.3535701952335,70.78439448801032,71.43180905707067,58.86912312168269,84.36880971278491,79.08386721991344,0
4,1,5,2,5,0,5,0,3,4,82.69505008330859,67.321500640872,35.81972407419738,2.8367618770794745,63.251244180906774,12.59805812733391,19.060101247428552,67.9452337539615,32.56899922852874,71.6488030695195,31.93415099612621,0
4,3,7,2,2,0,0,1,0,5,33.00280655467224,17.489204322345742,45.647160551556944,87.66791188524552,95.13948774213083,87.28049566039336,66.4052995143353,56.90921168518521,62.861847875015506,36.830274048814495,13.628769249481,1
2,4,6,4,3,3,4,1,9,6,86.07105995331317,25.51717662916021,15.889246442605188,8.344996442336727,72.22757844404596,11.75569757744982,4.17998193885526,37.291356406326145,25.009284055549376,9.841170315901259,22.44015327373602,0
1,4,0,0,1,3,6,2,4,4,85.0298712435516,49.71323654329299,49.20057662710421,61.214154569662846,64.97189858772713,10.78326468672679,62.342737458428886,39.1368457336389,8.109176115031335,76.33830858339577,66.75646016988009,1
3,0,4,4,0,1,2,8,3,3,4.261823103520612,73.25520551504474,7.309942019802385,33.99654380481783,63.42756029917965,83.71867522217588,19.269605142579117,12.601691636670676,52.65511049280273,19.511265608357842,53.7704232224074,1
0,1,3,0,2,3,5,6,7,0,86.21670225135647,55.72897319504405,64.01740317022005,55.660069750733065,61.35293831005162,34.23178528109906,16.619111365754115,25.496469418424937,14.859728034411212,50.138598680334624,0.6339573368352114,0
5,1,1,1,0,0,6,9,9,4,2.129529603788338,11.105155422957358,4.614268497056484,52.388520630810106,73.39604575043633,76.99336515727965,47.0530404138332,89.45517639366014,26.008068172675046,35.090202715069054,46.44669968137946,1
4,2,4,0,0,0,3,5,3,1,97.26924771386278,43.172727065047845,4.561254946355209,2.0758846446892187,78.40503832288495,74.89375904310765,87.0389834520487,28.430126959539614,66.66869136389522,14.411780461769952,55.925542752359526,0
0,1,8,0,4,3,0,9,8,0,31.36960164718022,72.12380098218935,10.503049898032046,2.5423832032520632,22.13898690550944,6.2665068025333,50.945233392818636,87.88109207476678,22.710958782399615,26.568545321546498,42.774250964511396,0
5,0,6,0,1,3,3,3,1,0,75.60658026018389,63.66902447359386,73.93517193243319,72.99274553724975,54.856000357463216,77.85336872191539,7.888669476601118,85.70990832785611,24.558176520071264,0.7773668134804068,61.275203555432554,1
4,1,4,2,2,2,2,7,5,1,48.49199222464623,2.7953363363034556,97.14024898015828,2.616831141784348,1.525387617019569,37.14916213396899,17.778073402796146,52.63512049050324,93.296952658701,94.56893434592581,40.92474658001428,0
3,3,3,4,4,3,0,9,6,7,93.02844484679484,87.80062626457092,84.92062232850984,61.010366314257304,10.663986201654152,85.1417475794661,9.771827865139803,41.459004091652204,19.766365433898116,4.622555812876328,82.07045443679645,0
1,4,6,0,5,2,3,9,5,3,9.749060546211386,63.26159440564789,7.687011991614057,73.7915757656255,56.95858119247025,23.061179226536886,17.325201925650703,16.102872855802175,86.04605502773633,41.47793322733075,67.42040064150319,0
3,4,2,3,5,2,5,6,5,0,79.0007167721387,92.54720047392826,5.016105660066595,36.64424884994683,96.97791653263378,2.5247766483489364,98.22488864699086,88.19909556962827,44.096070024616715,36.83795596152086,4.529869085884075,0
3,3,3,2,4,3,2,8,5,5,41.72533377728723,6.278423149131918,80.46867329484581,58.35640441621979,46.549945822578145,6.109941725714718,91.2491966626361,95.60412203299464,8.229138545920843,75.51874830400219,42.67708921557079,1
3,3,7,0,1,2,3,0,2,5,7.985457682754604,1.7233140044896178,13.599718913891735,10.082388112182128,14.507379243654883,42.02732984347164,79.59917577658533,87.38358167520207,49.72328954474244,24.979591370816046,62.73608314171148,0
1,4,8,4,4,1,0,7,2,0,33.303982408313985,26.164729149115974,52.54213439162789,16.74351024406633,17.36999465111563,4.157815193717518,11.186828987071994,66.46300100260295,24.404340580844053,34.774008894711606,48.263809248826476,1
3,0,7,2,5,3,0,8,6,2,2.984817957388286,12.136413357844955,28.34246384722895,72.59881651118405,65.82410635062443,37.63023809162102,27.484296141953756,40.10219506968768,52.28352078383861,8.379253532517517,94.51658442011507,1
3,1,7,3,1,2,0,3,1,8,73.09585700733165,48.926871000136565,62.06163636220426,44.74412411662867,15.721616574280928,75.64602519101085,28.54851467442967,51.10102916413651,71.32458168983818,83.79758970700222,86.10507682273929,1
4,3,5,0,5,3,2,5,6,2,35.08017232393586,91.7220159539097,30.809561393368067,95.76536230449801,36.541467169947836,47.579040096214065,87.77266833387384,13.617795633485287,55.54161927096695,31.41514784619488,5.976568722155617,0
3,2,2,2,4,1,5,4,1,8,54.53350879010337,47.0769279376727,66.62064730048169,87.6845934517015,84.22949528636131,19.487956857301704,11.98719469679368,59.150108629238204,59.81504213291593,35.50018841893689,71.6636238380167,0
1,3,2,2,4,3,6,3,0,4,40.466574567662384,67.7832777232566,12.287882457882827,98.41900027120349,55.95078440654052,66.33225456807659,35.65478016436438,6.4360197505587085,43.174653589122315,26.92162153367321,80.65214659749934,1
3,1,2,1,0,1,4,7,9,4,15.268878955813015,57.40882962185733,33.62437849477864,92.81838225672475,8.590739917564438,6.830738887674248,45.69874564532367,77.47183486376032,17.1611022303384,92.79132233556024,39.51345149503662,0
1,1,7,1,0,2,1,9,2,2,48.87776180967074,32.30574494193028,90.14017430168835,90.97906445669325,88.17726466725037,81.86415788358296,92.4573592455741,99.00434632374763,85.09004843750098,48.47979804920921,43.84530396896148,1
5,2,2,1,5,0,2,1,2,2,71.89816166689512,77.10195942204598,1.8576505370407892,74.32377881536424,92.04570736192579,66.89968626004482,76.02124964853543,83.5125042663918,37.051830858916304,51.1074837068236,72.32924694887048,1
1,4,5,0,1,1,0,8,2,1,32.8283158506782,82.28328872229389,9.939458786521548,21.828206539529216,59.10829342227808,57.859805395291865,4.212395499079169,54.6825829310302,77.3714137978618,14.007251164227984,44.66973872937178,0
5,0,2,1,3,3,6,4,8,1,5.50242958517183,7.064632565847894,36.58666443895445,94.65476088557256,86.59903492941272,57.258721747799854,14.183214045112624,13.146535335695864,37.11799912819578,52.366176725732004,37.37220788871842,1
1,2,3,0,1,2,6,5,0,6,82.59145662966657,98.77295578859543,96.95162719528487,65.66780422294485,79.3166753146956,27.605371327892314,56.426579211228514,51.653113942311,68.03569806622528,14.941795391628233,64.38551538244765,0
2,2,3,2,2,2,1,2,4,8,41.398445370976475,30.811249789101115,20.096830479595518,42.85063653829133,41.26624291630338,68.30995654398174,95.37377695741334,68.33543793500591,9.229973173934791,36.616275234820684,11.416087609399838,1
3,0,0,3,1,0,5,5,9,3,37.27448205165476,80.91151582161295,12.921169771321528,74.15096654510477,81.32255170198106,23.319593833522656,92.95694539439889,43.84893120580662,42.51894380538559,94.98536399232368,32.07802908624746,1
2,3,8,4,3,2,3,3,0,0,63.53066873074792,59.11569473401087,7.800211562211157,93.5912990590975,87.34528337500417,78.68160342157377,9.06350164399835,77.87268643565709,62.94029861040924,50.213747198526626,42.02606117296222,1
2,4,8,1,3,1,0,3,5,7,86.82567849283677,62.537131163645924,26.957138067132913,64.44851687351697,37.06498700223525,49.03788627849508,23.24595242634374,45.26125985280637,32.98593316275045,15.493005435558038,84.49308844869124,0
5,4,4,3,0,1,4,0,5,6,61.842994969788776,90.5762398010855,78.78621505364144,42.96240197547798,25.656272671305558,44.892599567187595,86.14313510680641,48.0597222250787,52.6146909741302,11.900552709051315,40.57594971315945,1
3,3,4,3,5,3,4,3,1,7,6.8856532173901535,86.80536986391051,59.28347030303765,55.0274006292954,40.91540136446963,35.74473792911957,49.11983911221714,62.075060476320544,77.20117918855004,77.0641605254807,90.91638998961236,1
3,1,5,0,1,0,2,9,5,5,31.524447600953454,77.84219310391876,34.12969179680543,98.09928703199472,18.474742486212026,8.422752791244958,19.974024020411296,8.59046204257179,1.5405872265600418,75.74398960702062,65.26269955012268,0
2,2,1,4,4,1,0,3,0,8,37.97009210000882,30.081008963390275,61.535583692877225,50.21856213902448,73.71021693986755,14.40500675872306,25.81331863472546,59.78434213483326,31.045793563010825,52.59965993116722,60.25389400301487,1
0,3,1,3,3,1,4,8,2,3,70.50980546026008,22.271988252470376,96.06675599755086,71.29380065480336,60.25060947686464,41.316115916178816,75.09684669688872,69.01156551236579,71.54192090527,0.03500993040189693,62.279312811495316,0
4,4,8,0,1,3,6,4,6,8,37.346178873267654,71.01904447360985,2.267962950572411,62.410586498765475,24.71664918556312,8.232999484706404,86.1483395560471,47.84157493134327,54.819866533915565,3.672644980417661,9.658221585181003,1
5,0,0,3,1,2,4,5,8,3,86.99685321040123,6.118976170052459,50.9835048243757,2.0248908732993565,85.89252523765232,33.875978681213184,92.7767512704876,20.82370588591218,70.97467286412254,52.57236162190141,91.04799048967568,1
3,3,4,3,2,0,1,8,4,3,37.15096998376565,62.7476360941156,49.127609771007016,60.13758978234676,37.15751609481879,69.63809859717264,11.151045957049565,67.45181750131829,24.914947165520353,41.00068962931501,19.868223180982667,0
1,1,2,3,0,1,2,2,6,3,39.354144085424124,76.33362308571284,66.17016034243977,85.9901785611295,56.56272982269246,14.342961182301817,85.4568903844203,7.554518491803474,83.19224191610738,2.752753111570294,16.439521558250814,0
1,3,8,0,5,1,1,4,8,4,60.8996521234977,42.89614225223145,15.060138216170705,4.696378627957564,93.43907474926266,21.95616135179641,37.459906798101294,33.397054036301185,5.090882419616349,21.76053578030377,96.03567611576803,1
4,4,2,2,4,0,6,8,1,0,68.23767882227904,66.20809987002569,76.69263576919647,77.17705859339918,35.23925299753915,54.29395119608355,87.02814851321222,79.69485821821853,18.699768611065025,51.65340311794895,32.44003030250152,1
3,3,1,4,3,1,2,6,8,1,86.22134919073027,57.6610258969285,19.989520140270088,65.06181682508746,58.93813925439656,93.37219440908487,94.09480128458097,43.29107811532491,46.27288638767047,76.30169665572673,31.346752575068415,1
4,3,0,0,1,1,2,6,4,5,9.385163459477731,69.48800286161512,73.09568266130817,62.699729645981215,14.622819203405657,33.2326576233854,64.1560034769932,45.514567247856874,74.18236355089006,52.09925155006137,77.28310506658855,1
4,2,8,2,4,0,2,5,5,1,17.248759341205055,84.8518562244824,55.71925370692276,29.284605834985257,74.82741785618494,9.797373230404915,69.36844759426594,40.80775784712469,44.193902281462385,90.15284930739516,60.936362809578334,0
5,1,4,2,3,0,2,3,7,3,58.91938621400406,38.145985374443825,56.2874485091697,28.626551548236122,71.90183359706069,31.07153286276484,0.3316677710605398,18.83202582699016,33.90205289671076,23.32186635328507,57.30373280365056,0
4,1,8,4,1,0,2,7,5,3,23.340297564522526,1.8607346053518659,71.39644942406956,25.321594118606473,67.27320949480313,16.18137593897686,5.26527333723158,1.978456643113291,68.04782965698075,25.872512025942928,83.07352287836075,1
3,4,6,4,0,2,6,8,0,1,1.550472437951811,43.1931307714782,66.82329320001587,54.54575200469183,50.939788351516704,16.344721382067906,34.86251959799915,37.214234769630764,37.64389548228022,61.94139787090908,19.425579439834262,0
3,0,2,0,1,2,3,6,7,4,37.248924082382864,13.845229492316946,75.92891149492762,19.79950828058623,72.77484225957087,60.431384763103125,38.08643782057193,87.98126321538689,83.36390363785675,74.01135078692081,1.2227638669198182,0
0,2,0,0,3,0,2,0,2,2,45.01028100949876,61.17297979991436,63.7104336845386,81.97653337104282,57.468058278366485,5.767737755853053,79.66358445795137,15.604149341239893,80.24957086366295,74.12767579202195,19.103538106029994,1
4,0,1,0,3,0,4,6,8,3,49.91527148088535,37.266367994531024,97.47600980498419,22.221991338654767,98.53798732056819,95.4530649938924,56.964335629605436,28.661282415012757,44.78176146504119,32.470070489049995,29.87081946942286,0
3,4,1,2,0,1,2,1,5,0,43.357751091123745,13.090293191358004,86.6189876900194,52.83256898334115,13.571566198620266,85.43594451286828,28.313576377404793,56.07174120782206,62.68935790430869,72.92839759907733,26.98221511126767,1
0,2,8,2,4,2,0,5,2,8,30.53949913975551,74.0891765630392,96.36878455324775,8.974892079548324,0.851207714587221,54.316548564199465,4.510904241408154,57.00560855194004,59.49143546486905,45.57977799640065,85.53707064118153,0
2,3,8,3,1,1,4,4,0,1,37.199282245064836,86.14748234276513,62.68695847859374,87.30133746480008,31.637117405592786,11.244989441972342,72.60082699564552,69.40377590729356,2.0713901938297252,86.14311079728567,34.09994929931497,1
2,1,6,0,5,1,6,8,8,5,40.169479181532175,22.15268836184361,88.4604023229674,35.258550646568374,90.41861619624704,6.0575133165186585,92.65235520831612,41.15832541962773,16.781846326378393,12.403075016824994,41.65495543577053,0
3,3,7,2,4,2,4,0,3,5,9.443079900409545,80.17578253245202,0.1553488383284285,14.77617768858851,78.97535672113975,17.882341938728874,92.68677616917557,6.877336156755732,46.06683871573936,72.4961250812511,68.66703930966624,1
5,4,4,1,1,2,0,4,2,8,89.659441260788,24.772349849412567,86.39653196691808,97.2106831629678,54.62822655686432,41.58810411372805,96.05437577060239,64.62253092205678,44.5165667884889,52.16243413103422,58.676919570280184,0
2,3,5,2,4,2,6,9,5,1,78.52608160403203,10.273430823138696,52.40528973619074,74.55914361833062,23.50025748802107,66.4783251360557,15.557321580777772,21.36081224228823,75.80179566931946,61.90296687461152,41.510694506811966,0
3,0,1,0,3,3,2,9,3,2,40.66619914917779,27.412822075022923,37.413166331321456,94.27842350118274,78.96355077973098,1.2532811362872875,9.25063648782194,76.7778356602718,17.20417525178053,92.44493373651713,11.181212026840226,1
5,2,2,3,2,2,1,5,3,2,20.707013450223965,20.676793465775777,29.4157308807687,69.04191102951727,68.87484914852861,12.815597780085753,41.5458674603922,28.770928295401553,69.14923781469814,20.71681956847077,9.90430301112194,1
4,2,5,1,2,0,0,7,3,8,61.88502311120633,75.66495293460008,96.19952043471383,88.4665647880509,94.73323176449395,25.749431809853597,4.57543920488066,60.28620686944149,27.665652553732535,37.28467846010306,98.18513526690914,1
4,4,2,3,3,1,6,4,4,5,6.924883329546594,70.95239709087355,67.46900264482754,53.26750746052984,9.093479053267128,86.02149703377745,1.706549930397394,99.70386153412217,24.843973493408356,70.57959185856349,86.36158241293734,1
5,1,6,4,2,0,6,9,1,4,57.2871568724902,45.93137686302664,26.895412759467586,9.128011925263335,28.164941112225904,98.051927756648,62.83018879415203,7.152528400179692,99.05148825416373,92.28948849464061,43.86670968447915,1
0,2,6,4,4,1,1,2,5,1,13.051436689674844,26.419378567703212,9.147089241645734,96.9368181520111,23.252829487313253,9.558846826939238,74.79774313644985,25.898319102209722,19.46227132792837,82.1656858081073,44.345596523687625,0
5,2,7,0,5,3,0,9,5,6,25.830623153545616,15.95680062694388,8.67102103177314,52.20940053045392,91.9836974422688,34.4846597284061,70.83910259916527,46.8974529662889,26.037603281454512,55.47849496647259,12.854585413952934,0
5,0,8,3,2,3,1,3,1,4,13.910535405291558,39.238240375692214,49.17923061744324,27.7138662864318,85.5073456958007,83.92476746734177,30.569644169237886,35.0571398520304,28.768828491874167,71.71411076443535,43.512606318398014,0
4,0,3,0,1,2,1,0,7,0,6.182892826447595,19.619177055989212,28.998002059202975,22.177598197126947,30.977027862884277,15.71558014240637,80.75083458046636,13.024734628326373,28.123467732099172,17.20104430751721,93.50929404150932,1
3,3,8,2,3,0,6,1,6,0,39.97478310351107,30.63826653182723,57.55249571161885,21.49665978663767,42.49289169323254,18.64203646266568,49.098660081940146,26.997672742705493,47.52908423686259,26.76857064500966,35.810679201741756,1
1,2,6,0,4,3,6,9,4,3,46.57406859208286,27.755659251360587,40.54999813185623,0.4497630004488773,54.19286366131754,80.8141463995169,5.431536201648457,42.98931103383836,56.689633231837234,26.67644937116531,36.21523576074783,0
2,0,4,1,0,1,1,2,0,8,20.88659744899376,57.307554549208874,83.61185064130001,8.134317810415414,44.71355577090617,53.08106404780598,17.93339710710177,96.56219542710063,42.05821580834185,17.894013237112073,6.938576740941926,1
5,4,2,4,0,1,3,4,7,7,99.36540404099917,50.91354828019477,60.74696300466723,15.566469452286647,24.57325557379213,44.77236355578519,93.95132403497671,14.031231649965692,30.893255578265165,77.27188761860549,24.593197349946948,1
4,1,5,0,4,1,0,1,5,7,90.04474391696989,59.75999281538999,7.8951240657753825,86.71836313684514,99.6152956799365,9.716171457054323,40.876024776797095,10.80920109684934,34.471728516962166,31.624630187343673,41.23165993576215,1
4,0,6,0,1,3,6,7,3,4,69.86852120273363,38.648351474052035,69.88214517904792,3.4426469680643224,21.671942766236874,6.428883815948405,78.48701499242637,58.025675587730994,90.41713157330953,36.03803471646242,81.88220372592319,0
1,0,2,1,4,2,1,9,3,2,77.62686137911246,36.35792018055495,89.78182973809956,31.913130894176145,84.43077340027378,15.331385693234644,32.40924076880233,81.57208097250195,78.10439137742445,94.89289602535837,93.53816373200044,1
1,1,4,4,4,2,1,1,1,1,12.129996594602055,5.836852529377456,96.22272569097483,82.95405131210579,10.885982951679441,70.1177254934877,41.5427107497667,6.7486502770409125,99.87568377690265,92.86967017204226,82.38576146854328,1
5,0,2,4,4,3,4,4,1,7,75.80246973331828,46.71553642008487,68.58281595956001,19.716179738301076,25.10781609700613,73.58667796061087,57.61171576309565,44.61576558256455,33.26873056432459,31.052513278485662,24.88071558618008,0
2,0,3,2,1,1,1,1,6,8,86.73928415937951,91.66377183439175,53.465729073802656,12.659367122696318,6.964446444420558,57.515559451195585,59.86346520719537,21.59778088627471,50.33585369343157,21.64668427923194,38.95416293703236,1
0,2,1,1,5,1,3,7,1,2,87.87628729895938,50.26313327711777,99.75352289696372,18.96523333725575,99.92958436830335,56.031264868538166,31.098640784342145,79.76852644342507,30.251630334686674,90.05657685801462,93.32860290307491,0
4,0,3,2,0,3,2,2,8,6,61.403591635942036,33.79116558921575,60.3976776359556,16.033910528182783,38.62110885263894,46.32134187342187,66.60799776792253,62.03222880920016,11.536873256931745,0.12292188187265074,25.845819681071536,1
2,2,5,4,1,2,3,0,9,3,28.64404621450769,61.27533025776839,98.67325002634705,62.86229353809429,11.108520395973454,8.498094740473528,18.504465182786344,32.701898907289404,76.29774772892671,12.479676216274216,2.0701335739914284,1
