cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,cont_feature_6,target
2,2,0,7,2,1,67.14988997675707,73.26547221983446,37.300127987837584,78.61854417316148,45.7894332037997,62.84127597198763,1
7,3,0,2,1,3,49.197810744105816,34.8824920575207,74.93761050933631,68.82865653679005,39.262426857843046,51.44516298983896,1
0,2,0,3,2,1,53.94693699929062,14.319043137334663,75.74151541578401,7.744814834083202,52.85072380203074,0.48024741064875975,0
8,2,1,5,0,1,15.060186797869445,99.15889540347887,56.70097661101795,25.754446773085593,77.69242523224906,55.893246618473114,0
3,0,0,5,0,0,45.432856353393504,46.85859413281563,27.086921625055172,96.29241953208609,24.00283950572264,43.34034198609914,0
1,0,1,3,0,2,16.48201695154078,4.426661692018796,41.26025610350534,35.170096184122116,8.041736594935445,61.56017176254046,1
0,0,1,2,1,0,64.630106201631,6.032434241541029,27.42744807832289,42.11323297980106,73.12872170810549,70.94364406580402,1
3,2,1,1,0,3,2.1240707797071434,72.81936221841724,95.39603384855596,43.93259363808036,47.072184503286394,49.39690549734503,0
2,1,0,7,1,3,12.804611156246548,18.504874059692145,5.976797034674075,70.76353562539485,9.946078235788702,16.626150982236453,1
3,3,0,9,1,2,59.55008902730925,1.7370598860591002,56.09568322334598,98.66888121270443,60.49730687753494,36.81187832356842,1
2,0,0,7,2,1,20.90469252487477,44.930736239471216,61.07253235583627,96.58789667757995,66.54791517431892,9.265992488864905,0
2,1,0,2,1,0,3.434353696492831,30.43333849384563,17.423015071521764,25.71835063039678,89.61992779460148,91.25315719871885,0
1,0,1,7,2,2,7.583046466898924,72.21415216331243,73.02597669494587,53.81590097134956,31.74676712236103,88.93976839105301,0
0,2,0,0,0,0,39.872819295120934,67.89723170231116,16.48425397416986,94.89476238397823,92.73792359400981,56.135326072644496,0
1,2,0,2,1,0,70.49288967239944,66.25023293897074,47.824270858025585,53.17403056268656,33.85118495679976,28.545340139207564,1
0,0,1,2,0,2,45.81608363558224,24.927701692250327,53.45366029498534,96.91071051318477,32.98011590296889,33.3501715657703,1
7,0,0,8,2,1,41.97720471881756,97.18772942579645,19.651415782709623,75.73835026920851,7.1545890672433,6.489995750740807,0
2,1,0,7,0,1,26.598897644969664,37.64595287183574,94.50021060365084,8.293180617548401,56.21793137864313,91.16958331653451,0
6,0,1,7,1,2,23.443118387211413,99.51529076856617,68.81099401113943,42.159228711917066,4.870149280103808,78.13612534406099,1
3,2,1,8,2,1,45.096430711952294,99.73438015179715,90.09146153228876,90.30149331721455,39.11074017008431,44.19380781560754,0
7,2,0,7,2,3,50.19353255608723,56.21924223095822,71.09581554905684,21.951075224281514,72.71987428918997,58.520856641794936,1
8,0,1,0,2,1,65.05569424382787,87.54558544687198,41.71080549393517,96.37757813699037,0.045713767722799226,9.981920169005509,0
2,3,0,3,2,0,5.0345255107134275,52.494642371563835,40.179981263134515,1.2649664234823055,66.08287067073579,91.20701081068265,1
6,3,1,0,0,1,82.08006410647596,71.2992413355721,9.40825269799136,82.17134380244478,30.969249858816493,82.28208982926417,0
7,1,0,4,0,2,62.08203814375077,94.18325622132042,12.661714581914296,33.44191458378201,71.87333663474331,53.5244739937054,0
7,3,1,7,2,1,60.16211427947121,20.344636967346496,41.54234121544961,85.89947022857733,45.64322695583706,80.05987933195276,0
2,1,0,0,2,1,20.47576567554925,3.839895778444391,36.36159846900633,25.5403369560955,35.35669621640734,85.97985159916283,1
7,1,1,9,2,3,91.67150575893214,64.04558245618053,21.389314937435188,67.60472771317576,61.11646952123403,6.145974780953223,1
5,1,1,7,0,3,67.26021426835645,54.083995282305764,89.46944347383995,10.935168065858559,76.59301810162738,27.374335927555183,1
3,1,1,6,1,1,66.59720674262866,71.14040810348297,88.27285912208382,89.41290024250472,14.016454681451185,12.213235909760645,0
0,2,0,1,0,1,32.88654572674417,5.535015933695964,92.82525998172471,1.5572951457000328,78.03566425458163,2.7926446586804654,1
5,1,0,7,1,3,67.63283073083682,57.77538919784126,14.37289095651545,69.08410486324497,44.83008268731891,40.16769498973587,1
4,1,1,9,1,3,60.94389740213663,46.80807270680195,71.27625363316116,26.08674900327945,69.87698254199589,45.422713193395104,1
3,1,0,9,1,1,73.36021637916235,53.67746219886027,84.16263948867048,30.71382621777683,90.86334095643463,1.0227581297922672,0
8,1,0,7,1,0,90.0293727978299,59.83678890394983,22.207679134028957,55.66291973859393,97.81680328974022,25.359710927450752,1
5,2,0,4,2,2,58.26410089844381,52.091014525438254,38.99472090723361,33.72969357005569,75.95002359580528,55.41465935277511,0
8,3,0,4,0,2,1.3407628475743394,69.62743044076036,92.29972443186263,61.496605652989224,91.59640247642173,81.8720834656256,0
6,3,0,7,2,0,46.13006700201671,68.83137640699918,43.55232529933099,64.96483292152445,72.35032589001467,94.26623861460541,0
7,2,0,6,0,3,56.2506209819828,10.318655856360515,35.974434199751556,85.77235427265069,78.43702857371864,81.22714145119517,0
0,2,1,6,1,2,64.6728974563929,75.33117381758987,99.72315866126898,21.797709154246824,27.071352208336062,97.32750039188781,1
4,2,1,1,0,0,25.641671691282998,83.99040502469063,68.57587377721553,62.281307665368566,87.3683786549405,76.66681088046316,1
6,3,0,9,0,3,1.5610938301768962,48.611064314393246,42.307266780817876,68.35603390198285,5.456165699945881,52.041896847797545,0
8,0,0,4,1,0,33.88253146677494,64.00866727846872,20.052132298872927,34.456011144868214,93.35255056572927,25.59891365699937,1
4,2,1,6,0,0,26.539962304627394,3.2801103753985594,4.796181167676616,74.61840975123349,40.5544526648505,51.484138134639004,0
8,1,1,0,2,1,37.45827144173104,28.346897112668234,11.127467766956112,84.08009442394989,5.7500181430322534,65.87200186509074,0
1,3,0,3,0,3,46.435993473092275,7.348738681673561,19.79235613569097,50.71397390177365,3.304218298916106,95.47038705437319,0
5,1,0,0,0,1,71.48007161136391,91.62838442469304,59.41404117386493,34.21401244534865,43.17071811886745,51.86953018156726,0
4,1,0,9,2,3,74.27879816887236,51.09832121167861,20.02783457267877,14.33262411649191,78.49614608040966,94.91568384184241,0
2,3,1,1,0,1,67.4547557002198,5.870094785294199,44.434159822829024,75.90119032795216,21.787496077957147,85.3148801623607,0
3,0,0,9,1,3,58.868698539342546,88.25534311283666,63.5957887402534,11.243559460896835,46.881715298439396,3.6868251474220015,1
4,0,0,1,1,3,19.06438265292789,4.6540453816870775,31.649725358080595,62.573985170989296,20.65453657623253,51.40378164137848,1
7,2,0,0,2,3,79.57255065289603,27.84251122550012,36.891756388743666,74.0813382851338,6.488961151790562,75.5045690323213,0
6,2,0,6,0,3,73.93520642449307,92.08656980346703,31.684921201817506,44.01104032836349,19.006956872666457,4.151607170587212,1
6,1,1,2,1,3,76.34649148780345,99.38580937174085,24.329426497468056,45.30804149875634,85.92543856365158,15.072751333632272,1
8,3,0,9,1,2,22.65654329807366,29.15660329025772,61.311360870056454,34.64895489758669,70.31708204442452,27.818006964868413,0
0,1,1,2,0,0,91.0391326414086,21.31893281110311,29.38490795972486,67.94811586619375,19.863589850501373,34.27895762365765,1
3,0,0,6,0,3,11.834302203570413,70.98987323903279,70.77217772615883,54.603767624254715,25.416598019558712,47.07954535708269,1
5,1,0,5,2,3,3.1214844707390332,57.46155042379932,55.28542267966245,53.50846602057584,75.70575334825116,7.543610392968192,1
6,3,0,1,2,3,16.974443311516595,47.135251823776024,4.208248878654597,9.126329123191478,53.29853637720977,51.49356989680724,1
1,1,0,4,0,0,42.77419755191549,57.99463480025362,90.28594764062933,94.01679504502312,80.42087269634347,47.68263342478816,1
1,3,1,2,2,2,73.6210099248707,1.967985999753441,0.17553759181875295,59.609458019391745,63.559460117458514,29.507214898479074,0
6,3,1,7,1,3,46.74078386674021,83.53456856286977,6.232510249838031,49.83335700973062,52.77684320816574,16.077210528763853,1
0,0,1,8,0,0,10.015782984376365,3.3238989006379893,20.548459477853353,46.81580265174201,55.37355277907196,19.516394001819705,0
8,1,1,3,2,2,86.9508449671329,42.991806376045815,90.54691919591143,71.44672498531001,99.87340660224004,14.359068465053337,0
7,1,0,9,2,1,43.96599781967138,31.6219764233715,7.291413242241607,36.820299390427024,50.74253732629636,5.509728076232556,0
5,3,1,0,1,0,57.34145174280416,56.35505379546297,10.437643139989339,9.447079240947387,42.637104574494124,68.69828570711796,0
7,1,1,8,2,2,39.586823335566464,33.4045845163047,90.28312820848649,5.033920527079083,80.79443610718904,9.366952033499508,1
6,1,0,3,2,0,25.520289100273597,88.38006264305747,98.81750036450266,37.58742642390135,72.98183842619547,42.813321198582145,1
8,0,1,6,0,2,67.0600832791037,69.43188897414778,89.77511506437382,25.796121845993667,17.38699119329,14.858781171904534,1
4,0,1,7,2,0,35.52948131178088,41.400188415487364,9.587491298403206,59.758318262697806,78.3340928978811,44.778938904542066,0
4,2,1,1,2,2,27.629455968057414,91.27473305983355,22.654826750416014,34.15935620320625,73.69691641397829,3.7425918961618954,0
0,2,1,8,0,1,11.466032386572634,89.22324309989897,87.84208406959976,52.204257143472745,19.58419934685629,23.265426563032854,0
7,2,0,0,2,3,15.099076897778762,15.845521953373975,75.1519624153917,71.32209760455143,8.77671264001828,52.53264945352406,0
2,3,0,2,0,3,93.36760091336478,8.565364676278254,46.146815835413776,64.96678931118858,58.09933679537116,33.97259816308509,0
1,3,1,9,2,1,29.28721026396044,76.03876752464839,64.58537773800064,98.55931704581768,33.36667572059782,75.72675501061649,0
8,0,1,9,1,0,78.00856719996581,27.546196900689914,6.168812797854506,59.07267072874891,71.70213139046889,99.06279807526886,0
8,1,0,0,0,3,14.530025324582452,83.15585932497532,96.5155827940491,9.251001275190218,90.78057019534404,63.94044997316719,0
1,3,1,8,0,2,35.26851425220017,51.39050836655229,28.744552923261512,46.80062521169693,43.670336282317216,25.309720209382835,1
3,3,0,4,2,2,58.73451883113242,80.21667512894199,95.20260690112742,65.35401319155055,4.217546468664002,89.72888471710131,1
1,2,1,3,0,3,53.017502299649166,14.797799384912691,19.050981924363853,40.118455074280845,49.392814351554684,5.506871140245428,1
3,2,1,8,2,3,34.834711678767924,82.49744268812145,78.98940126056198,69.37522050366546,87.97941946893415,24.626636385606293,1
6,0,0,4,1,0,79.54143207023911,90.67316989418244,5.005402445737084,86.00255405585996,97.76774029866054,92.83421825095813,1
7,2,0,1,0,1,34.62002314927267,71.4957760394878,6.399297894631051,2.906199731282022,30.914820032689384,0.3234583774108568,0
4,0,0,9,0,1,10.392190872886642,8.245368379027285,37.42812906730649,4.9617583645328756,91.28650506716227,97.96800677810896,0
0,3,0,7,0,2,96.54533564107255,38.38525396595445,72.83590835288678,64.36113020783655,32.76005895878924,82.24474466386619,1
7,2,0,7,2,2,80.36425019539772,64.76406217621714,22.007124912864995,89.99617641090238,47.75006889584367,37.30680645819404,0
3,0,0,7,1,0,59.24122003622846,53.827304496051966,97.82492909748564,9.522630831155631,2.8416434286571257,42.11796963645651,0
7,3,0,3,2,2,29.259624383289662,39.42542152697841,20.990111196146877,3.046135158700103,0.5269281716481333,78.3528027172981,0
6,2,1,7,0,2,42.35563954599652,1.3652911523615918,31.126127143296966,41.22249569655021,89.14078210351929,11.61176200384032,0
6,0,0,2,1,2,29.6240560653783,74.99516387161282,52.839696732303864,20.93875691835577,38.278594662348965,22.905820836098222,1
3,2,1,2,2,1,95.86238109379292,37.99413041580013,57.80525969340518,19.440950539401612,80.51710610935895,37.0862130150349,1
2,3,0,2,0,2,35.488039677169304,18.365456600534024,49.85936605977058,36.3453846025568,37.52473828504178,88.52782365932377,0
7,0,1,8,0,2,64.39391606645177,96.02509535131138,8.796876912214879,90.164916943024,89.9910454192358,85.48385649990699,0
6,0,1,5,2,2,71.11914148792174,37.90816199189351,2.8322297936255514,21.927984805759703,17.622526046400246,2.748573191206427,1
7,1,0,1,1,2,31.353944534610346,17.624365660680454,93.6517251826993,91.20629461908545,75.272990626335,29.898107653811547,0
4,0,1,6,0,1,70.17819845864967,73.75737781847369,27.10333963379663,76.63256615415108,87.05181702064692,57.411749621535215,1
3,0,0,1,0,0,59.54555702985274,32.89831115446273,38.00666568818508,63.3520259572784,0.6195744120326863,36.36201590842825,1
0,0,1,5,2,1,90.41511797253187,46.745218728078875,77.3111336884455,51.000332900427125,4.698244890400627,8.126025625737343,1
5,3,0,8,0,0,63.10335875699118,96.75882429501736,68.8563360354436,88.85762497939557,3.607827755309334,95.03099559237522,0
0,0,0,2,0,0,2.641435223058708,68.47476488697662,90.1696866856082,19.378879898686463,44.86810437897448,32.108062603206164,0
5,1,1,0,0,0,38.654536788966176,26.799881970285387,77.7090622592717,27.617349101635234,56.668061475392385,36.74318935020746,0
7,1,0,0,1,0,32.91185409611247,5.089869147136539,19.02234292610172,69.42728294071547,57.99267106191919,90.87663021181048,0
5,1,1,9,0,0,63.894088854806974,33.06379154075471,69.76284396735014,80.76460425221866,18.08024970352391,56.650279613152996,0
8,2,1,9,0,3,13.583105833147513,24.16649479797225,27.11821274251761,55.645526504640365,46.06034021599194,69.95822092018655,1
2,2,0,7,1,1,71.66766682103454,53.60429341625452,19.152333773670282,20.4758512137485,96.80310390413607,65.61132709746576,1
4,1,1,3,2,3,74.95250497677395,93.30937735405914,94.60528381493437,57.84717715782581,38.56018918114281,44.388930912641186,0
2,2,0,5,2,0,41.98195881411251,90.1346415490444,65.40321543030302,52.71893141971247,71.31133161254148,67.98132654482959,0
3,0,0,4,0,1,7.096786457905857,78.68592200732031,58.226257261246275,76.18396583969349,79.08461575171516,19.54759283506239,1
0,2,1,1,2,1,0.4874862013734882,87.82256659541619,75.4170125475726,19.670644885479703,28.919010759309515,11.260399805624676,0
3,0,0,6,1,3,68.15847356375811,73.65148154486664,86.23315500333621,46.833077058641805,55.518211367084916,12.294246655489616,0
6,1,1,6,0,2,85.21927861665691,51.74819930842142,27.243041361312315,65.85852772280997,97.35524929470398,97.02293955298535,1
0,3,1,4,2,0,77.4424382566805,10.17498886797682,94.95268551454504,63.171798294197345,26.619583598634655,30.931938358995037,1
3,3,0,5,2,3,99.8522817594197,19.053050672678694,61.1458119047177,90.45927733376779,90.6602660961643,61.39903251132557,0
4,3,1,0,2,2,74.83103303517564,85.52434722846174,7.0937004487150235,34.04569258622318,8.25609394916591,61.27788096234759,1
8,3,1,6,0,1,50.33333061820372,12.966267210573413,24.402364860453694,37.813082640562946,92.68389654691613,51.10444713705851,1
6,0,1,1,1,2,21.00272720569284,95.8090557785727,41.03998283270831,16.00779819750461,13.106102831136013,22.51657301568022,1
3,0,1,5,2,1,41.0142577844457,59.10720893072814,21.1155500300954,75.4615115348386,86.08453591635717,60.21820462685354,0
7,2,0,3,1,3,97.78954519836648,36.28880459860569,97.12345575047459,68.45068919453948,58.360930945157484,0.09006086759192344,1
3,3,0,9,1,1,67.659224349044,4.829605552886607,66.4922830070531,1.323110066094868,10.562535990307653,2.6356896236901073,0
1,2,0,0,1,2,65.25402600936391,24.99651169288848,35.94694805787282,77.64345222474101,4.427584085930802,68.60731826817462,0
4,3,0,4,1,0,9.621886388798561,19.04394193012355,23.168520318528564,12.329581683120939,53.46078424797038,39.59311944048996,1
8,1,0,9,1,1,19.058689048649203,21.34160117356417,37.187148195651446,5.840672993263663,5.858937296031364,51.17506016924842,0
3,1,1,2,2,0,54.958212740845916,17.543097894009264,36.3477162069299,74.44163154437963,74.21913246812821,41.569354882570245,1
0,0,0,9,1,2,26.824806343519224,66.12591261575619,34.43376388011321,84.23555187643123,21.14542499797961,61.48850473425978,0
2,3,0,2,1,3,11.683432838955444,86.08032891843837,38.978307868019066,42.437727820620296,70.68626452930819,71.9139134772389,1
4,3,1,3,2,0,64.67692610973738,7.680616989685241,79.53703336678018,2.630784303610423,44.80969780726476,92.56545403345154,0
6,3,1,2,2,0,60.09580093739505,61.4257661838429,44.88335586515324,66.77744646627947,34.567133531698346,43.76065631206,1
1,3,1,4,0,3,99.37778502318099,5.04396584190101,56.45630985948771,27.302647923766997,28.739058610599745,36.799102387147485,1
0,2,1,5,1,3,51.13785407975554,85.60440876818983,22.57082719432486,38.11054889671903,76.98746943891128,13.133998215412534,1
3,1,1,6,2,3,80.37437118021825,61.78736311313406,46.146969706739135,67.28330488001764,18.83327725923597,55.05785139213293,1
1,3,0,6,1,1,94.6496753195037,71.75324422243531,2.025515193745986,47.95899946127539,40.245520720209406,16.66891492265059,0
2,0,1,6,2,0,25.228407710833732,80.62576360578927,9.319765083901254,69.09271494087378,86.22550332761703,92.74147817084682,1
3,0,0,5,1,3,17.858702077268106,96.21013761242271,70.13964040057614,56.204761491131606,36.21533496578452,24.293687855399916,0
2,2,0,4,0,0,34.9090971843529,20.65122997742279,11.276766019776463,8.42703101490152,29.088406003377486,78.40233906149415,1
5,0,1,3,0,1,77.63260548778953,95.45635401819924,46.96692075755031,35.80525759176657,23.791899384923465,42.4281992076121,1
2,3,0,0,2,2,4.856994987753094,68.28714947461665,46.58557624145077,40.297290127640096,97.21374017938851,69.181754164102,0
7,2,1,5,1,2,48.066545592854496,80.99567204069356,85.95127269906759,99.75968265612917,58.28514878211687,70.17518585159246,1
5,3,0,5,1,3,63.22834348111252,84.18747513327318,13.42114187822897,21.632855408409203,53.54137267798955,82.7736184361902,1
6,0,1,3,0,2,93.1388233447508,90.7818960356435,86.32966753682564,89.52693081056442,33.817622121545,59.66892073204907,0
5,0,0,6,1,3,11.368782530748422,34.90778566273903,40.119945467634146,11.480505090994896,33.699488244201234,49.92165592493585,1
6,1,0,4,2,2,91.12944311816482,33.266443677841536,33.19349158725723,78.68073754760788,71.38431617462545,96.26299406014488,1
8,2,0,0,0,3,6.3207427565291185,17.696158348613956,56.827487934717524,86.98317807428643,24.490293525267926,24.221036962388897,0
5,1,1,1,1,3,67.7252575722345,88.15511194742814,60.23889201476784,38.06002457641361,82.0443558357197,47.784528239184034,0
4,3,0,6,0,3,80.87568877620562,40.35733805720868,5.473668874080728,63.56679137446611,64.56658686913121,85.24852091825679,1
4,2,0,7,1,1,60.86936153322458,85.43661231866244,58.409802943031664,78.79047332926345,19.901283790922953,37.43079212357281,0
6,3,1,3,2,2,7.480116308257989,59.76062631434681,48.23436688520963,37.23020998414196,14.71005170422256,79.17474572010359,1
2,2,1,1,0,3,52.36794315425427,84.5959169371802,97.23417791821434,47.79451954287231,13.067960973894788,43.76281445462893,1
2,2,1,0,2,2,23.288198631930058,72.28691278365008,66.95878835111196,79.44092691195922,40.27798644924181,23.922625258879737,1
1,3,1,9,1,1,25.63160007489652,79.7837491910438,96.5550792907728,34.29129860981954,53.26594834206472,37.26660576020247,0
3,1,0,0,0,1,57.75199541855397,24.267506442615495,32.9461557448836,9.36541164478777,12.715240707759145,29.07877446892423,1
7,1,0,1,2,1,19.294534230608875,3.5210137418581255,40.9207883055816,91.49162597040007,33.96327285999165,1.4600155991524644,0
4,1,0,1,2,3,47.8920024820552,15.128923927831472,81.83076740208263,98.1239703142301,28.26658315360736,82.49782517767999,0
0,1,1,9,0,2,19.47526513422735,75.20637572561533,71.5608730784344,32.153507934231975,6.718865106546968,11.663402317987437,0
5,1,1,1,1,2,76.13107549720056,87.33483899213735,13.544503696566668,77.89630664644763,13.420359387617498,80.61416508805524,0
7,0,1,7,2,3,27.400523547935617,47.544730637458,86.45198939898945,56.91536636847376,64.67360499617331,6.199285303133628,0
3,1,1,3,1,2,74.8156661724331,38.44170889090055,75.7412846165733,18.16771756558491,28.37015771125988,7.865299277014371,1
8,1,1,6,1,0,48.47889228883716,32.57473069371566,83.61404327258914,54.708085254740425,76.36477602639403,55.18292095508619,0
5,3,0,0,0,3,14.745284870728447,85.65710061173769,86.06972956464644,13.354597433618288,4.615130866175976,12.759264852408803,1
1,3,1,5,1,2,55.166793308287964,35.99401841058789,59.93999862724567,62.44850111550176,53.05307060781804,30.027335621131122,0
5,2,1,7,0,3,87.48450352067282,34.89943904249386,57.6046462142077,69.29523880628803,44.89619178874018,21.594733839466716,1
4,0,0,2,1,3,57.29932855634101,51.473898938067144,93.01667482138691,44.50628395149534,28.538794753357667,83.89966950576505,0
3,0,0,1,2,2,73.93947457934364,45.70791837492856,62.74796892748521,15.385223638817603,0.4017231962185952,93.65052872978423,1
5,1,0,4,0,3,30.89936306459762,47.261497793009255,3.923022816541033,86.33134183234745,29.664816181011634,16.35340505124003,1
6,3,1,7,2,2,92.59388260970239,15.195094207950488,17.38308441012989,34.23289865545809,94.12167127763068,65.1215599471357,1
6,0,0,2,1,0,18.31520631400705,96.04949812358484,30.0937766902595,26.789360297813047,87.7541807020805,36.56569730139564,1
1,2,1,2,0,2,70.34375579438958,91.71960485443883,71.75885337571528,83.92398348537691,32.475812213126275,39.659435353458406,0
0,3,1,1,2,0,37.51559500096672,47.772006288860936,1.4950252798941133,14.167085767951148,42.50836793954926,1.109299260802321,0
5,1,1,0,1,1,59.1282461828909,78.20643470894862,99.7277064245703,30.638395745647763,49.381504721384104,15.76335822137488,1
2,0,1,9,1,3,26.55196741612257,9.582344780081497,48.424914263533125,67.0315085606768,51.863895512700964,24.44387238110488,0
0,0,0,0,0,1,18.195804240437397,60.23402933218141,86.73718437711479,23.72679949785239,88.41422170177793,35.28503146322891,0
5,1,1,7,0,3,5.752303376722967,44.43773202139614,54.5330365988533,59.15963492064655,91.63724660038862,71.57850830008684,1
8,0,0,6,0,1,78.37972412330278,15.767511051941806,45.56311529776676,79.87733769584376,6.4037547563410175,65.89926686399237,0
5,1,0,7,1,2,26.138143028735637,49.443456013938025,67.47773349389085,65.32779801392924,86.21519037825102,49.59388333922844,0
7,0,0,9,0,3,6.024010123629253,18.197770079024846,40.32165796939795,19.610841196588456,57.47370762771125,74.52138997367071,1
8,0,0,7,1,1,50.96121787111842,92.87536200757198,20.562049415086182,76.59486170240116,41.704965902295086,2.163443567862433,1
0,1,1,9,0,0,61.81526010506608,52.27622942825996,21.7011569126629,79.50779344667347,87.89621236347561,1.8650149341649436,1
3,1,1,0,1,3,87.24114386217539,83.14391033456316,89.29123863088317,58.301308759884364,30.35829190139747,91.72711394484206,0
7,1,0,9,1,3,59.006880222653216,39.01746394824938,16.932174517470035,8.780697231791601,17.471134351483652,17.477116332315234,0
0,2,0,3,2,3,59.82606989680992,27.854496969369958,82.07673273564531,72.77114915230437,64.71012233609386,67.05201120871735,0
4,3,1,9,2,3,42.26909520566854,62.89081690963451,27.23169451616937,17.61850404345956,77.7392010061557,29.589539529946162,1
7,1,0,4,1,2,43.82065768854398,48.59925458905151,45.99440776222568,42.2444895268532,14.894510752837832,67.34863211080558,1
7,3,1,4,0,3,25.29858159616809,53.44824588607977,72.82693745237937,98.57304627495613,35.72984549194437,20.82203315697233,1
4,1,0,4,0,0,8.788738901236226,88.5224690601764,21.440215437817034,11.048980766141304,42.892811189462165,25.09722111461439,1
1,3,0,8,0,3,82.53706787546113,82.57037577230165,55.54311091241377,55.06035343141268,24.59901914933712,95.63980290631176,1
3,2,1,8,0,0,21.921757026693854,38.18200788435053,45.749222640008306,76.55554385965976,31.681281924879766,86.1120318456775,0
0,0,1,1,0,1,8.691865410404564,44.262118603964986,46.24241188955527,13.497262061111215,91.80806528901681,82.81403940589426,0
7,1,0,5,2,0,87.61842361183764,42.569958009174236,31.191514997881175,73.82634052448685,25.17783236481477,56.018848589555084,1
7,0,0,1,2,1,4.884474210242162,82.7317902279327,28.214480729341396,78.26206390179223,2.0543404878472837,26.155867600347392,0
5,0,1,4,1,3,36.086720258090565,77.56934672383375,21.18988813944933,17.55962987677474,64.54884594132095,16.91927463409013,0
1,2,1,5,0,3,62.97658561047693,3.7086933913593967,80.80286283881868,30.376839762917974,26.158340128715164,99.77280762600176,1
5,3,0,0,1,0,90.95057177332495,27.11203256311944,7.549009020059549,22.78124804811266,32.79491408295453,24.568278278026312,1
3,2,0,3,2,3,79.56308876449091,34.54741614795702,16.338027246634446,59.67440430522134,47.973278674781405,68.05187705689686,1
3,0,1,5,2,0,88.16076724886948,59.09574372248243,12.996545227928745,40.102530655260104,68.69186417102148,39.50818003547055,0
0,0,1,9,1,0,55.782135876014195,18.909172964173283,13.692518944024956,19.566055373856074,80.76311361158663,62.83978761669964,0
7,1,0,1,0,0,20.8194633809753,20.915013237519,24.040269657397552,75.12111269031891,28.9273833477938,31.48199498304369,1
6,3,1,0,0,0,79.38406596779853,25.481428070923194,68.08685262005356,5.908193078941659,14.09804557677603,43.931253446976285,1
