cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,cat_feature_10,cat_feature_11,cat_feature_12,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,cont_feature_6,cont_feature_7,cont_feature_8,cont_feature_9,cont_feature_10,cont_feature_11,cont_feature_12,target
4,0,6,1,1,4,7,4,4,3,0,6,29.42702645516595,14.040789755987538,98.97599255665662,72.8897546559717,1.9962025120683902,20.64523763365136,99.87170893758027,22.737508003355522,52.20050228324651,50.65945394924712,90.36274667793714,47.59824661662822,1
1,0,1,0,1,7,2,1,3,0,1,2,72.19150847291682,34.509061507173165,84.60597513216368,93.46042094352245,97.12474619184025,36.79792881900548,24.94558654296597,44.115673829713984,43.74116833101892,6.3033263622746745,92.83919156965345,20.6567962798491,0
2,1,6,2,5,3,0,0,1,4,2,1,30.632362933960255,17.16850644107719,88.83131987230591,93.49499314524286,38.401921983436935,82.00808641961002,46.55811211149631,72.79430251432154,36.00631065340305,56.36035257256904,96.3987553891531,62.86186362497392,1
3,1,2,2,2,5,2,3,6,4,6,0,89.169227854722,9.62289180057323,6.789760627015906,82.05458647977838,6.237303688463514,31.345793615273145,12.022197474589259,93.30049807705105,65.7318292679881,41.280561085362464,15.259552689839495,22.87236540613683,1
2,1,5,0,0,6,2,0,6,2,6,4,94.83414844458665,94.49089208501871,0.8986340518333469,36.83784465717407,23.380445163081742,70.19073266804249,85.30304097031966,51.25333011332551,34.824019405723526,24.432391299946755,8.102279709522598,21.926354330395192,1
0,0,2,0,6,2,9,2,5,4,3,7,61.33425069183267,62.38558214508687,40.95082310873541,30.17995762058807,49.18544250504087,43.084726086535895,0.016684561472224413,43.34301569450154,84.89934391049111,98.76211775324079,56.089042243754506,1.3541299889039848,0
1,1,4,1,1,0,3,3,3,2,0,4,81.95453936079282,65.64229173803314,20.852710690221187,89.72204769159758,46.13573842544134,94.48060287251612,35.460210418058956,41.68522183647209,8.303708925982923,37.87484964421988,2.795162075455948,39.77629850981358,1
3,0,7,2,0,0,3,2,0,0,2,2,1.2998363396509394,22.75265596441134,98.8536817515934,12.44952358556014,49.86402381514079,51.66090294414866,23.29400070940755,67.01479432730225,90.85824000650908,96.79026181530917,93.51484585456541,20.86304879174561,0
4,0,1,1,4,7,8,1,5,3,5,1,69.13775274564144,70.94210157591135,14.172633326704675,86.56312958251307,93.3524810046254,98.69895972425373,4.344898600888203,5.274241486052733,46.52603824712498,70.58183973891917,65.05536931849285,16.442887695907537,0
3,0,4,2,5,4,6,1,3,0,6,6,27.012028370591068,49.30044416311981,71.3560047022021,39.551495983557516,78.28083924456023,86.39695313037244,9.384275915452623,92.47772595643298,73.13014635430278,6.6847521169221435,25.368619855226903,42.91596549919146,1
2,0,7,2,5,7,6,4,2,0,6,4,63.655171447847536,22.752070562053007,79.74285435089303,54.17068818867856,63.091505058657795,18.000414839869837,91.47170238408339,8.57126887652836,56.08580138108662,31.590867228372975,38.595439857289485,44.573137366079095,0
1,0,1,2,6,2,9,0,5,0,0,2,61.228798807904425,6.054786885597874,1.5093605895537543,75.05407339351001,26.419442945064688,73.61526856291363,72.44071666704124,99.3387333973872,39.20373563544649,47.9375945485645,98.2905055953202,36.29154327186935,1
2,0,8,1,4,6,3,5,2,0,1,6,5.115547412393607,73.99459766220687,48.841482438656904,81.08654943144158,71.53942641785451,44.81378405542936,7.668601098540173,37.155151579242585,20.13291990975291,97.35396311643888,82.25246045804533,69.26079192921038,0
2,0,8,2,2,4,9,3,1,3,4,1,42.03490024348623,23.02015778569009,68.53048952100656,87.10426352675124,31.45340385549692,85.3073845347997,8.316140452985577,29.706309188499148,50.47276061737709,95.80250249149334,16.610110803903034,93.54169927851007,0
1,0,0,0,0,3,1,5,6,1,5,0,19.43101436766016,81.0037186867285,14.080792516821905,60.85894075228742,91.67265643733128,7.446420953878841,64.19400005866204,9.530028933867364,10.659569467434949,67.66382932101888,33.454729768552994,91.49504667732525,1
1,1,2,1,3,4,0,4,0,4,6,0,11.538585652210031,79.07649671231198,3.030128360775053,32.21157698978326,11.76536288927018,70.55419359777245,61.16814000990818,27.01415120811833,18.433004727799375,25.88894392497635,98.77666756446759,89.4054768247467,0
3,1,6,2,2,3,0,0,0,0,2,6,77.7044447592681,75.88058249448042,50.40107930328242,56.05012283435607,64.44985617200672,37.941119733305584,14.314234625988254,22.981881939824934,76.37261167489504,50.380539939433454,13.630959706855815,10.704040641125278,1
4,1,0,0,3,7,0,4,2,3,1,3,13.338909133853393,18.82552681227446,34.15424430092288,24.320607096669335,84.05032408278835,92.79497500884722,62.870815199285616,49.20103645477727,12.440748921201038,45.604276398474155,37.500588781379385,29.051531579741418,1
3,0,5,0,0,4,0,5,5,2,6,8,30.141872878605202,84.21647489309186,87.753297888019,42.746514366666965,88.44212664759553,53.97362854945658,3.60483406887101,44.901694020510305,59.017106584885084,77.50892141230527,7.897632386524922,56.600524602156185,0
3,0,3,2,1,4,7,1,5,3,0,2,11.566281292927039,98.37485841591473,87.60292790548996,79.3504716570398,11.444502089628495,29.37022356653375,6.989234900993935,72.54698893210313,64.24646778006489,39.84195658984766,95.22363953445176,43.58725120310586,1
4,1,2,1,0,4,3,1,0,2,5,4,69.97849169923386,47.31540972871257,74.25741541576292,2.336513748262703,64.9958653006506,25.66637350717328,44.09506149714716,88.29224541349765,72.88573231689124,15.037233542855743,72.31162947316696,28.604624329321148,1
0,0,6,0,1,3,1,2,3,0,5,8,31.855859053896594,33.22804982441214,14.574234663502683,55.51772885493773,27.159675235226587,34.885144137277024,87.05935487475223,15.952272654630173,96.43663933492334,39.53077528070804,24.025211625583243,65.61880104755159,0
4,1,4,0,4,4,0,0,6,3,2,1,25.338960715871305,27.460478568704428,37.96894587116654,40.1219938342807,38.65179083414472,7.442011173627927,63.52341794722861,71.94670457645604,33.07604747207778,77.38527607538248,47.008339954880775,28.008270537042968,1
4,1,0,1,4,3,3,4,1,2,2,2,5.470434829071024,66.30019218464292,27.94376778697172,23.432065372327493,79.05585681415602,2.9582330500973253,7.854177136731089,83.00337059295741,25.297253546095966,9.002455078385395,91.69412400008272,1.9493503084228037,1
2,0,7,0,3,3,3,1,4,0,0,4,51.612559455933614,68.36380694341094,66.38757403913709,15.63648932472993,59.65435701697859,51.07712429237221,5.918335959069221,43.20292601232476,87.97131710404912,13.123079810252614,51.26549953084931,48.25753103488244,0
0,0,0,0,5,0,4,3,0,2,5,1,51.00936748285001,96.6955654401522,44.05274946234161,74.29358751393748,72.98760399822731,55.1094362558095,88.02553449187366,54.12888997994242,34.469081010057955,38.66316584763414,37.98200675097099,88.28022366436609,1
2,0,2,1,4,2,6,1,5,3,5,8,65.32493738650943,95.99930514896941,72.18788825678497,44.843679162087426,19.821516572354646,0.17461270151549746,77.22795035523514,81.99232454794131,79.6280218595013,16.33921301363873,63.04087730697542,13.76304889776161,0
4,0,5,0,6,0,7,4,2,4,6,8,13.689418066532166,53.58125916648194,81.44129484371473,21.82327610584709,93.41693498975577,4.45338720462064,12.199581302766493,36.260559815171256,88.88051633357314,97.6325273662756,57.13299252723333,42.84854768474277,0
3,0,5,0,4,7,8,3,2,0,3,4,39.21193427360322,19.994811788143373,96.6703725526038,86.29234344232111,37.68064276633068,34.75234601618372,74.92002331400583,72.77257500945714,72.91520383424216,51.29071410938004,59.323228493453925,53.58382429657295,1
0,0,4,2,6,0,0,2,5,2,3,0,16.295423596310556,58.71165874040467,55.48358273799149,80.44105824866583,2.4231983863553963,88.6549452219174,83.44083175847781,50.12372546993061,58.72852572715082,93.30325831602845,24.848573251806105,81.0442927547923,1
1,1,5,0,4,3,6,2,5,3,5,0,97.56823618296289,94.10318441570104,58.07763000690277,74.37486853399542,68.39711238087274,93.32871920293333,9.890415658159258,44.366523529576384,43.710438735431175,71.08510501032038,70.38420587119147,56.316326713798205,0
4,1,1,0,1,2,4,2,1,0,0,8,80.86805519945197,13.023552337766075,14.917332422861895,2.611805725496519,74.65511549051753,88.04728423306665,61.46786305800538,4.7945902009756125,37.86368550141388,48.37144101171774,47.977605185167874,93.05347787021635,1
3,1,0,0,3,7,5,3,4,4,2,8,34.316889515582375,63.71918802869979,9.569704122888002,75.12603247453984,19.751730713268312,75.62524510204193,10.444100493346387,66.80522263226798,22.172147325537782,39.03808132680319,51.53272256145197,37.95968595816825,1
4,0,6,1,0,0,5,2,0,1,2,1,65.63469727355988,29.86507130068795,30.57787165593805,11.472065029014345,34.23781189106209,6.100967471833463,53.995457464972155,84.31282529779625,82.22059515464086,21.493333703390693,2.6070599785064097,50.35164903872268,1
3,0,0,1,2,5,0,4,4,0,5,6,93.33366223898753,68.92472799045035,74.76977853944744,97.71579332037467,71.54050421104643,94.1414563521588,1.9652137797329106,5.325997257128623,83.08050798613338,81.48296179641441,3.4791592290803086,97.34939475003519,1
2,0,4,0,4,3,3,1,4,4,4,5,94.3499987681182,79.68802149517225,37.20363785989461,97.85390867661637,63.52525671559302,86.24743445732115,50.7623141451306,19.74614128785842,72.85369224106115,72.34264076168934,18.327371478433108,60.66198929379335,1
2,1,2,1,1,5,5,3,1,1,3,2,62.621024287332475,48.325002425077656,43.86810030693816,56.90699832880979,81.4474036101115,51.96930189244482,95.22969452858959,54.054272552016435,19.042875459312715,18.59372777918189,83.35195976164512,80.78784679776467,0
2,1,4,0,4,7,2,4,6,1,2,5,30.225622741782033,27.56378009628938,29.52204604550641,62.183481553542144,0.2074057063641277,94.7515038834975,56.963505168813356,48.57167938199994,5.157498485604095,77.20828581108718,12.13269767617663,94.67752163948468,0
1,1,8,0,5,6,1,3,4,3,3,8,36.03060785841852,18.88971532487086,73.6515971773445,0.4112658174579509,95.3745062873549,26.53064269305675,11.848443117152485,11.913439502671485,16.261552571472826,12.004308230121975,3.0339561832873896,43.70127591672054,1
0,0,5,2,2,7,1,3,2,4,1,8,48.36479510071688,48.215792854612125,93.42808122282385,40.65333225164953,1.7739404067275588,9.580816250777902,73.13299290374067,65.01133261691989,5.3526688291413045,32.559690473957716,53.12280381753142,35.35408092162321,1
1,1,3,2,0,4,4,3,6,2,1,2,14.543710143189536,66.2533895032588,81.22636420620799,22.309478341734458,93.60331997436687,22.50669875416711,87.59056383172143,79.54932295391545,47.804722112363685,0.01753747254460425,76.65252849910063,77.93474843662935,0
2,1,7,2,3,4,8,1,3,3,0,4,30.227526793331382,96.04586422611735,54.418728669268845,96.36735668849529,69.94669707231877,5.321538683030735,9.336602198194422,66.47762922126806,91.7552790342161,14.363014550762498,11.399568470196385,54.432808865756584,0
1,0,8,1,3,7,9,2,5,2,0,6,4.687771040683819,67.42716962911108,76.39438721804888,95.2295517499794,70.45526968133446,8.103220716677061,2.1451340122842333,26.21718107445704,41.24027195776387,50.40323098283695,96.14291849206434,26.180529713681732,0
2,0,4,2,6,4,8,4,4,4,1,4,0.3714889651163844,86.66062923364177,65.06617601288477,95.62743978426174,30.416763776328605,28.954162615835365,27.248645613540212,94.60094832227529,30.94819508291068,24.483916898014655,26.12475648484822,40.227874237468086,0
2,1,7,0,0,3,9,4,6,3,1,2,36.96183693429168,54.68073596702152,0.1936127694471157,2.982104741189351,24.208724068959707,89.76801452418775,44.488861939814036,92.70686119690973,76.75195728824637,50.47418308100895,7.131663054952564,2.2917857196176006,1
3,0,3,0,1,2,0,3,1,0,4,7,78.81340456149857,36.57416624030696,67.76925484356346,87.89321752631585,42.241754800887655,71.72381101752417,9.66503070417648,66.98786215076785,62.94533693174912,23.43812069012754,77.83088427682624,18.92055289121799,0
3,1,4,2,4,7,1,0,0,1,5,4,56.184614084602714,77.46134611682636,47.98643013962132,20.345622449443823,77.0780050454933,47.55101605806439,98.98060893520974,99.18427403577361,69.57839352259859,14.403165967316244,77.46964754668907,42.87665654277683,0
0,1,7,0,2,7,3,2,3,3,0,6,66.10990284941722,9.843631165996825,9.877133361210966,61.547304951946494,3.003225846071156,26.061716056644467,5.35695858841605,6.441506894803184,66.89866565765148,33.29313047944049,20.01470360475305,2.420340360030404,0
1,0,7,2,2,2,4,1,6,2,2,7,92.64162488102038,33.55938316864723,0.5848381926639057,19.11505330971095,12.831683157498519,40.21273187516492,20.22244232040794,91.55680240749804,83.15039167252036,12.641292321429432,89.62509820213353,10.701807223910098,0
0,1,4,1,5,0,0,2,5,3,3,7,22.868096968350528,12.104390222570572,79.93716692442328,98.66379802294595,47.823823503041886,39.258762667823675,89.01285160762671,87.17158402936211,29.409974134535922,46.47510299990763,13.013585785953108,81.49779865142568,1
0,0,6,2,0,4,6,3,1,3,1,1,15.471376869188358,12.420222296070648,74.21653681591359,27.175058999389012,75.65366916681052,45.3106829872654,3.484507509884671,42.49405798786506,67.2468344961807,33.408648893186154,75.54526395624535,43.038942265603076,1
1,1,3,0,3,7,1,2,1,3,6,0,16.903094719636513,16.544431464074805,63.60261555642385,33.000090749163355,80.81190585421075,34.53158023294569,96.37662623591262,10.377390325426983,58.21587406453328,88.44439992167162,93.41570079971477,75.95593819049162,0
4,1,1,2,0,2,2,3,1,3,5,4,63.80683077415459,29.324856624481633,47.20114639676615,27.355921615669022,36.17707063521637,73.3420702399308,62.728556048122684,15.958639417555576,53.681210279229106,2.4978729468859595,13.433002817632344,2.427448783508823,0
1,0,5,2,1,2,8,3,0,4,3,0,7.226180702788043,18.34184279559584,36.40452906918791,47.45024758957672,3.1889245405854805,73.40394194570813,46.667920303991515,63.89153255879309,95.87525674452819,41.36792655690126,45.59848308934802,56.64036928456706,1
4,0,1,0,4,0,5,5,4,0,3,4,92.54084578004361,71.4006306667464,36.81511603246257,14.083616082285022,53.81023278161824,28.8775620137702,75.79194788502173,73.62203872396081,49.868521600141115,1.0536454108484916,9.04309674860988,1.2509838558511954,0
0,0,7,0,3,4,0,0,5,2,2,2,27.12590471679672,98.72312762986371,67.98587587642653,96.09383611236052,54.38341678103124,14.620535004212531,58.43543794324504,33.19257910118672,70.52531820871204,2.678311556973878,58.57463429421998,80.75769710678607,1
2,0,5,2,2,5,5,1,3,2,6,0,52.26599428425165,99.10615780357053,60.85691915964747,32.26521215136228,87.36013432284442,77.3396910268355,43.541888901801265,45.43960482387849,5.978655636424845,33.50714685895879,92.30644767173885,75.98489037553773,1
2,0,4,1,0,0,7,1,3,1,4,7,18.850305057601556,49.904137664663104,51.160928734846145,53.44531840427911,28.644701850734457,3.9112043911103123,65.71020793026808,85.18154684438176,67.11354960575943,54.675551198872284,59.62840011038556,75.61265349949468,1
0,0,3,0,1,5,8,2,3,2,2,8,6.533265565170831,68.2659331421438,20.972263863489193,66.134299883858,29.12008409689395,83.87137206122127,16.78632825291838,29.795727148717244,28.525076141893678,65.93097433005548,62.47915367593691,74.02700008770513,0
4,1,0,1,3,1,9,5,3,0,2,1,68.97267836152822,24.339372595253028,72.88521408495363,56.29621786662482,86.55843019832339,75.75206961464306,63.813210214889324,27.3732514215975,43.37937554773108,43.3881553989165,15.058724638953503,65.44120388383972,0
2,0,7,2,0,7,5,5,6,4,4,4,15.574898853429941,64.52250718578819,80.1390861031426,50.16754517921225,49.500885000191886,62.31991705991942,84.73382040126319,10.225336756701875,28.545859554952212,98.78063777059657,86.676784383928,70.0050083084396,1
3,1,6,2,0,5,2,5,3,4,6,1,1.0851762120449693,73.41999843173924,96.61750577673772,55.808291975612114,4.5793750061533744,21.17376503188064,47.99506399997166,52.344524455994815,92.3284198194436,22.37751939805115,57.45944879575221,65.55124941355025,0
3,1,3,1,5,6,2,4,3,1,5,3,1.3455425277387856,55.09198176377341,65.37953312401677,55.457074198092215,30.249080359076352,52.004719506354476,96.38057416248259,18.817879225019286,15.665247664491734,95.35402837611949,34.428468822489855,46.37337509911441,1
3,1,6,2,5,1,6,1,1,0,2,0,84.59507337525119,65.08965579108444,31.462259616541722,17.754406344607286,32.768309505007444,57.50727375617674,80.31585284738088,81.49721297762294,0.014528667267876827,85.09249313310333,41.856180570879566,29.973300832297866,0
3,1,6,0,3,2,7,3,3,2,3,5,25.046658527475497,72.39766476003538,53.079086263699956,96.18566974042712,12.354629100807745,1.7845955724831164,21.10711970516097,22.97482657655623,46.58460484267081,63.86166100689026,46.19892800088443,98.21320784214682,0
4,1,4,1,3,6,1,5,1,2,2,6,82.99413688471522,4.4845241605052095,64.04306540646212,48.88653092671339,71.4841768728976,19.477385690769246,60.29271885165704,47.67299350539616,54.100587215363014,23.06086231882357,77.20394863858735,31.88459004960005,0
0,1,6,1,1,4,8,1,4,2,0,0,79.81224816955951,94.40015748507683,88.54281179871145,27.65204989907719,84.18088620853005,39.273491464197576,70.8155097573087,79.96583571981591,11.561510315106272,98.79988762519739,22.136706406190132,82.20047899436264,0
1,1,1,2,1,3,7,2,2,4,3,2,84.97551750105347,57.45964323591711,32.663382124587855,91.04667557512371,48.45466321020897,31.788660253936996,46.038384216081326,52.01866766458273,39.74421880822757,93.42240290812138,16.762523215061474,37.75577244544298,1
3,1,2,0,5,6,6,2,2,2,4,5,98.33068086639142,23.453951157114304,65.20539904899809,78.68236646029676,63.211045523698,53.548610504059724,25.648086117057588,39.957855337356776,87.82077449863307,78.06649989485149,4.765769502020678,95.91333140097072,1
2,0,5,0,1,5,3,0,6,2,5,5,23.399783097205827,36.40695259347781,89.51471992974585,16.193431666279125,92.38084253810642,9.562167403941702,13.201481396038261,18.939645930645387,43.12321524961797,31.12011661264521,67.74074804742813,95.40555475141613,0
0,1,7,2,3,1,3,2,6,1,3,6,68.92946800115034,77.83062700799378,13.292893059749778,44.789346592673276,67.77704232249168,68.4358850586713,27.942264697989128,60.01186608577308,4.457863601337664,30.14549052867238,39.22622987737295,50.044840225750676,1
0,0,1,0,0,3,7,1,1,3,0,3,1.2328617425747423,86.52605724070565,23.391992781113302,16.054735810728694,58.638891167405895,22.070035322106673,3.6648750445210987,96.54205978152454,96.49441464706791,7.179911161815477,93.55777149877544,94.66427887585857,0
4,1,6,1,1,7,7,3,4,3,3,8,43.386105270989525,17.317575642690674,57.79931155707397,82.01896248633258,42.40519605851378,11.297844611164098,99.82947715136893,45.70433258322355,22.23270089396173,79.17976531138397,23.956111884828225,20.56094646265052,0
3,1,2,0,6,0,1,4,3,1,5,5,80.3817819288292,30.115051888811315,50.452360401500805,86.65254083017567,36.56199760214914,88.98202588869933,17.510058860268263,6.93698237078082,16.366726974756762,99.56928364341536,89.05638790933133,19.511789271981016,0
4,0,3,0,4,7,6,5,3,2,0,4,76.20703483167205,30.924671596790976,14.56485125132414,75.98251769417101,0.5879259570291895,88.64694082271676,11.344144427238135,63.91814401362402,77.33888828215568,8.034988351697104,8.532029134050434,68.82333473014272,1
3,1,3,1,0,3,9,2,5,0,5,3,32.1965042745253,53.552971418780956,43.91710142337312,61.84282749130503,73.2658455223402,36.59903776129042,70.78971185696068,79.25451530263035,34.535585283107196,23.357061642912903,70.0652191818081,39.923605272684384,0
0,0,7,0,3,0,0,3,5,3,1,0,47.28430616383095,23.28266796525844,4.582931933114997,55.11295345445581,61.271401437905915,78.55457712878493,77.15286196161567,67.53093821611908,23.96894821883547,30.652466792828548,22.064021259942145,48.524064981699944,1
1,1,4,1,2,2,9,3,2,3,2,3,81.6999267402513,30.037927970215073,9.015997614255244,87.81452090206999,34.25358836065111,98.27932087241,40.50812112750562,0.9464378003871676,90.59390693661507,11.247931873848849,31.62332752330125,67.90464296986916,0
0,1,8,2,4,6,2,1,1,2,1,0,41.92185548108757,12.369176598775965,11.131432141640508,3.3092893548338997,0.2766600864751445,19.7827517548681,62.515296598017166,16.92831309232854,84.61972117003114,41.87418794586743,52.254421230600926,86.67335582268467,0
3,0,8,2,0,0,6,4,5,2,2,5,85.58126283306335,61.564922393903586,39.01396808235843,37.86585756162103,44.388965458316086,21.980897092526064,99.4563992159329,65.97472215399792,6.582190153684109,18.70512438400136,32.12412388692005,91.58718290030605,0
2,0,3,2,2,5,6,3,1,4,2,4,44.38516486125427,21.492885149980424,79.17053348181568,94.94084330040829,63.074554175949515,51.86650895247207,21.494170374507902,8.286127361539918,83.33226849526253,53.29545529613563,79.72558242343017,28.50055785758885,1
1,1,3,1,0,1,8,3,3,2,5,7,31.963863431339778,2.7188251281163422,60.89290001366099,94.89291535174394,38.95698554958423,19.390585494861313,73.79194793598384,2.319474077743755,32.79858571788724,8.15754251468731,82.58778846546996,10.501187272548496,1
2,0,4,0,2,3,0,2,3,1,0,4,3.668083959319357,89.44256802253018,52.49067625923895,8.730886737769005,52.1569228369998,78.37341953828414,69.37648517649248,45.627529183317385,65.92825842685458,57.776960101025246,80.12910513825723,51.99395535030711,1
3,0,1,0,4,0,3,3,2,0,4,5,65.87917538288802,45.974783778798255,31.85707539757002,56.645476803800776,95.93360161963173,55.49120993196015,23.32551296150559,73.76068962466931,33.888271899548414,74.36913564211484,52.8395114131367,56.28863541514211,0
0,0,5,1,0,2,1,2,3,2,4,0,69.56674772425825,18.313096549061424,6.461061877164276,24.55409087388617,65.51673919328994,43.96722122096317,66.87318346973727,22.798170605530434,15.599792255349188,80.43241328754696,25.512382362020915,72.5563747373772,0
2,0,7,0,5,1,2,0,5,2,6,6,41.39040327168314,16.131781848677495,1.1695185017095877,0.6504054780131718,44.407619643042715,98.0063179844192,19.93452476195675,34.37346207865539,21.920883713621166,97.35172944048651,67.45313209849326,88.87049194299149,1
1,0,3,0,2,3,9,2,4,3,4,7,34.193373080412016,99.43349718669502,84.10938967608527,28.16089527173474,46.4498416521557,86.58774113475671,26.93487825091895,28.60763833366051,40.646610242602335,37.32607067294732,35.74840748036902,54.288119063815834,1
4,1,2,0,1,4,6,2,3,1,2,0,44.59530385622749,60.49510726097316,76.03417167125139,58.67896853212813,27.800028090685668,20.555239322976004,62.54616221186197,69.60250177441112,68.56892890462785,8.741716661722664,74.56225099921616,8.587533919839652,0
4,1,6,2,6,4,0,4,3,2,0,5,11.621156988231773,9.51857440467676,41.37668610464678,12.258112114399244,82.42165663656135,32.65620127797817,89.16029377269945,85.82025834452195,2.106695296695471,38.49059501202954,92.67201043775506,84.06196304997306,1
1,1,4,0,1,7,0,5,3,4,6,2,88.32945096277895,16.671780765324762,76.43634467008862,71.62660472024352,67.91427488678501,31.848581821887944,67.67819819495355,94.21972391623703,1.132116139997541,0.21808809962832187,27.54394427172634,62.26016841131574,1
3,0,4,2,6,4,9,3,1,1,6,5,36.76676683768619,85.8077335842712,45.324416132196596,41.16885613173924,46.35646476544475,47.464441983304205,85.06889427342547,78.66693942265182,82.65780563336332,85.26916778717147,20.981895093665536,30.794782782221763,0
4,0,7,2,3,0,8,1,0,0,5,4,14.852512060320922,28.98682930099179,90.16840310697198,94.45059122267703,89.52620462247573,81.75056350220832,7.217934315968877,86.08917458956768,61.22760366251395,61.39867826353643,15.345249993386744,18.34334049677023,1
0,0,0,0,0,5,5,0,6,0,4,0,73.90462421511175,56.75746789759535,2.384016393887578,20.45971573404952,74.54998805572842,26.09831259290305,32.863421335315955,76.01767479163102,77.2582415426763,17.899451449564573,41.84667283305975,5.490684516543642,1
0,0,7,0,5,0,5,2,5,1,1,6,58.535067821349905,52.8167304004653,47.43393082794408,41.02841279340337,49.71447276861747,46.4622860034184,71.48120835376844,86.7003551369789,51.086457183931024,12.817825839872011,63.55643306636206,7.418647435677494,1
4,1,1,2,4,3,9,4,1,1,6,3,48.642442844308945,53.76723159216851,36.458028689674435,68.96335753376104,50.790951255930906,35.445504561066485,44.25265641417574,82.1867452149068,50.25481826092765,74.7877548983249,96.80902237821944,52.00926351410515,1
0,1,1,0,2,5,8,0,0,2,1,3,66.20402262809158,76.57366586456875,51.19112930304011,83.64987184543172,16.92376979449267,35.27941081923858,31.128814935473905,57.79928389633879,60.518593604518344,55.983564899021374,5.735267878532191,82.39015136476205,1
0,0,6,0,1,2,7,3,6,3,6,6,67.60975473086648,46.44564244215862,58.47181400665763,72.41448371052724,86.70309261709903,16.563085968450142,71.98439654910558,56.32942605032289,0.02895460146813411,47.337389986821535,19.365682434710962,33.63547848524991,1
1,1,6,1,3,1,7,0,5,0,1,5,20.09202652451266,84.87479135233957,20.026504281132485,10.773852903029491,12.751146392861889,52.152913994488756,63.12824759634417,56.11614852856249,11.315698110746265,38.00326457338446,12.061715025748555,15.573373939278945,0
