cat_feature_1,cont_feature_1,cont_feature_2,target
2,16.097143681560876,12.48225431116763,1
6,46.68800227633063,31.25013784920495,0
6,34.5172051155215,50.45191697009946,0
2,22.50399578140846,67.38490080168677,0
0,59.25118687657967,77.01499563120922,1
6,31.226983770191698,13.033578095435427,0
5,91.63055534683508,2.2915131322381765,0
1,90.96355249515571,51.90823222119894,1
2,25.71182937821962,80.99887106624163,0
4,11.08913007440292,1.2603767029876312,0
6,19.296273201911283,67.24698446537339,1
0,49.958417067888604,68.68082266569918,1
6,72.85856679745962,44.924675358663755,0
5,20.81944384087915,91.47886867419342,1
5,24.803355837723075,64.4361084756993,1
1,85.1671874936367,0.5239837651465851,1
2,41.58487182675273,48.44284455143756,1
1,61.66850671552362,85.93178060976,0
5,23.366613923925005,83.03995700373395,1
4,10.196725942579743,64.9154197112478,0
2,51.58570169685298,67.36984238986317,1
0,47.714098704978234,57.84995797892005,0
5,15.267164409316326,27.411977516685216,1
0,62.18062317404155,56.05299905360588,1
1,54.40101188139381,67.17297848174204,0
5,65.41373469707443,35.24296302164088,0
0,14.45455401246598,85.58283672539278,1
1,75.15278171352439,19.50374860087073,0
3,22.20491397999227,74.73208103319232,1
1,51.9351824366033,28.96027461868774,1
1,78.52960282216189,77.3799287244182,1
6,2.233042799180618,42.77373293360762,0
5,32.43624597261865,80.76984091122095,0
4,87.29223764001111,35.35348626679904,0
4,84.47096076020696,21.369323762958114,1
3,53.84405925945437,76.72845084217666,0
6,86.6608274166513,30.86419476306511,1
5,94.98059913536265,73.32450677264275,1
0,82.64069976293413,74.44731530777321,0
3,85.41154438365388,22.139670090820108,1
0,9.874340182034835,21.411213682064844,0
3,65.1304332340991,19.89479234270667,1
1,70.3516988152653,14.251833776584466,1
2,61.02408126466297,37.70825992073341,1
5,79.9615261736028,2.6627884691621473,0
5,3.457121987163425,11.092036903424063,1
4,77.02387345549799,67.45640237634105,0
5,73.17286007395269,79.97765368973863,0
0,25.96983932983531,8.05295271283859,0
5,25.70692988221467,23.170231048579204,1
0,63.23033174301278,20.762566180381437,0
5,34.52974615910816,91.73335630816307,1
3,79.65886780072876,71.13145181364867,1
1,44.614623200345726,55.38846110514143,1
1,78.27494147841719,30.451798792062025,0
5,99.04717836238407,83.48540476317984,0
0,30.024833953390008,43.530595762952,0
6,14.300582825809938,92.34562151187752,0
5,90.13084363492739,70.60518043359332,0
0,54.15593788873733,47.803130796528336,1
4,97.47403708550823,12.62101037493587,0
2,63.66044000018972,97.60435504677476,1
5,99.39130246104789,15.983365034409335,0
3,54.60708041429516,20.26021252196626,0
4,52.64259339055213,43.11817551603709,0
2,13.54279030721699,40.420190577514724,0
6,35.57051709838811,14.675148076429412,0
6,2.6218567296373285,72.93189193611234,1
0,16.03951795196491,18.874506687718593,0
5,74.5637192707496,64.38956443116628,1
3,3.039968992878883,75.43059505762987,0
3,36.654309724374436,21.073239208332073,0
5,86.2346252838044,60.095424810764,0
5,69.26777175073543,74.89283752458364,1
1,69.09421420661685,63.82187106203334,1
2,18.863680095531087,59.71273029466491,0
4,44.19042807484234,29.548228565549707,1
3,58.15774073442912,73.16064712415088,1
0,98.97517076637052,94.53084399999497,0
6,20.390622523312185,42.556139026154696,0
0,24.773290176235484,78.21818168314053,1
5,26.217308377291193,5.61410396619153,0
4,75.01724132979928,83.5271602489966,0
2,45.69753274356928,19.22500168221477,0
4,5.692943841109499,39.50968688899732,0
6,50.85162406102396,30.008104592535645,0
2,21.196016464367595,8.010364380604928,1
0,79.86042447602102,90.4631002936243,0
5,29.73313815072722,37.015417755373825,1
3,2.760601195450363,53.06974384761395,0
0,59.34324494646211,49.411626589632505,1
0,84.38404289311889,13.216114194293816,0
