cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,cont_feature_6,cont_feature_7,cont_feature_8,cont_feature_9,target
2,4,0,1,2,1,1,4,3,35.86920421551469,32.24019518229676,43.056259206824755,65.36755987499896,68.64269528105874,28.579602840739447,86.79219337857897,17.558470933587287,61.77274013537526,0
2,3,0,6,1,1,5,0,3,47.9464539049339,32.778859631635235,0.9680816638112044,15.530260401942686,35.95352849048123,62.02281690910249,48.8473998050632,62.233566430920604,51.19221599373633,0
0,2,1,0,4,0,5,2,2,0.6441324518045577,58.86827526287011,1.8371920739397196,25.930728485719325,2.9737803984991484,33.298857494308166,79.5212122116169,49.02044735809971,75.94705086435319,0
2,3,2,2,3,0,1,4,2,25.56845919706986,13.961730556746243,37.014257581235256,77.83769612451579,48.35108356460711,10.180782110445152,91.46704452563436,85.2444949669141,16.401923861472646,1
2,3,2,4,6,1,6,4,1,45.02452529871446,59.80139855715434,97.1151375936643,21.281950932024372,77.27038064748304,9.691358320879772,21.069787908855798,32.6628662430936,92.49840293407831,0
2,4,0,5,5,0,0,5,0,46.93802606665584,31.340421573913492,81.0271345039459,72.4770649709748,87.36438689069622,8.886761324600311,10.239759860680097,79.99574757798604,92.22721790517886,0
3,0,1,1,1,0,0,1,2,87.00189263046683,81.68734356819925,30.163266535289523,58.94075472138061,44.660593255518435,31.196890490065844,23.86797049092695,92.27445695762081,66.67587926553725,1
3,0,1,3,4,1,3,5,3,12.728259528007314,21.371739351123185,14.559836194451293,5.651412342913487,64.51909322410899,67.42936842283095,48.042066999440905,59.414277322317886,54.076979873231224,0
1,1,2,5,3,0,0,1,1,54.953054349341144,40.04148473375071,44.89638081405648,14.781570865761207,74.26733975441549,8.259380696321983,75.88201396544554,23.371717744148036,13.784921329388567,1
2,2,2,0,6,0,0,7,0,46.90464499402665,72.48123076422615,48.81143707092793,67.01066017074821,78.03573873006829,35.23396813424814,53.768565227041506,66.79267649085972,68.67016674514286,1
3,2,1,0,0,0,6,5,0,60.13183559579489,48.35720995472599,82.54743012826076,38.304516019742444,10.381370062711849,90.75905327851406,16.108562847170692,17.14311698852705,44.511208304147374,1
1,4,2,5,6,1,0,3,1,20.059608639548053,23.794871765532278,13.649693601159418,76.38193587615731,43.277594317555554,48.045219362994885,0.869572697862786,14.415359422336849,48.656367836918825,1
3,1,1,3,6,1,0,1,2,63.63147746223816,14.83453395946962,96.30139484262034,63.86384588060739,60.59738974954962,44.18473771197065,26.236567841212256,68.88962058215412,14.565953892527917,1
1,2,0,6,1,1,4,5,2,49.27527051194585,51.245006581690774,72.32882620374545,56.76448595075962,31.172406131927964,7.803386651567812,16.440734771140875,60.351796341107445,36.928462934413254,0
0,1,1,4,1,0,0,1,1,87.44089957312315,77.18050090605935,18.78623939525853,53.110876697015854,42.52677712584219,2.9249941340192653,6.845290653430547,32.451154809282514,23.817960217427327,1
0,3,2,2,6,1,4,1,1,57.95943974660738,69.28465248614987,36.87557157063117,92.46547716437932,38.07009893429001,55.69820207568254,43.29412426702694,60.95740983365825,51.833459549901825,0
2,3,1,0,5,0,4,2,2,14.212441490697735,99.09621547757268,67.2037482402184,57.02945705045017,11.87905736810797,1.273323886968225,44.71037194018809,83.9924377955212,48.97587275838905,1
3,1,1,2,0,1,6,0,2,59.19748222812831,50.34910004108667,65.58738392438018,57.14663791203589,62.59036508210244,19.762737171704302,61.94609928138921,80.87052317104197,99.84867555274323,0
4,2,0,6,4,1,3,2,0,0.07887255516216829,86.26985498142568,12.942732414605606,56.07592948774883,28.600952407153446,56.8621170471202,63.31978810614128,87.45677415745197,38.714521618139194,1
3,2,0,4,3,1,4,7,1,27.07730591243963,94.84662860551364,93.8495645957538,88.19818632406215,11.982086709014217,47.80256004906117,82.02444427681712,85.96865763805417,67.13223781773458,0
0,0,1,1,0,1,5,0,3,57.79064785377857,63.759340363611585,26.162252841749776,19.514270971503844,93.38054845047212,84.6043274728869,85.56708216508233,2.8454529835800657,36.678823962085936,0
1,2,2,0,6,0,4,2,0,71.67016722364848,71.53973468434282,23.018760316470765,91.62462106999548,13.38770483080558,70.11104123892346,37.54459325673519,27.929695676937037,35.39636988188531,1
4,4,1,4,2,0,3,3,0,6.692247655248895,78.4117864563551,2.104871597209268,49.31188645200951,43.651810715434266,13.942840932542511,21.566833198593415,39.88267482800097,80.4591342899483,0
2,0,0,6,0,1,3,1,1,71.95543924592644,12.800236571423518,66.56365605529902,83.17412756239999,21.254108748292833,86.58612679500818,5.6733342368098345,33.55568358385577,14.703976839131204,0
4,0,2,4,6,0,1,5,1,90.46346022619059,75.17820511415027,89.40249041203224,69.25249977155332,19.093997816472076,50.11252052666072,48.92731877435874,44.85392617020755,23.458048359030357,0
1,4,0,0,1,1,5,2,0,41.92442216104505,72.46849584927205,48.995106839964045,94.64334169889142,33.39291450444413,88.96569984535506,49.01858818481942,26.17912053033261,60.716720168488536,1
3,0,1,0,3,1,4,7,0,48.82774009238749,71.66543021012892,30.453710015613687,69.73885239935191,95.1638418433432,78.5852747815121,77.24191061708339,70.95619825881842,62.914385505023404,1
1,2,2,0,0,0,3,4,3,74.81092115320011,93.42402546617433,48.289491198420656,29.532517197813423,71.34752217085111,24.922206373136845,54.94828185515317,76.7314501934875,24.224453080445187,0
1,4,1,3,6,0,3,6,2,34.76894329052572,37.814569125428385,30.904526755914908,40.567827565865066,68.27990371036505,78.9736894195894,19.248738041236624,36.69256172239442,6.5444777598385295,0
4,3,2,3,2,0,6,0,1,35.2895906717004,72.06685434153789,9.073855303569644,60.21380908828152,98.17626291896161,10.264193337584071,20.2346689832262,95.67534402252106,3.2895613205394247,0
0,1,1,3,2,0,4,5,3,0.48910216431737874,9.264687862441058,55.05698355818156,65.5586293564121,71.9829328571031,2.6210189467969935,91.38545903293956,87.77666767247116,9.790120520630952,1
2,4,1,4,6,1,1,4,1,26.331838520486116,35.599946768032574,76.48034372159582,4.87553215637263,66.66700934027854,62.4147800688577,10.383227108365467,18.32145376408154,74.10973808459883,0
0,4,1,2,0,1,0,6,1,81.66248589925806,17.34013462248909,14.236974812606373,27.697303931645234,65.73714229553389,56.17175798839698,5.477248924199096,72.7722858171198,96.68128947213654,0
1,0,1,1,3,0,3,4,2,12.830353137296003,34.106944573413436,85.47974893684862,73.62631200798313,6.267329611389916,67.74490098685744,76.50342721007853,8.139824601215528,52.66245743238499,0
1,2,1,3,6,0,5,2,3,15.810834708300625,15.351258500804722,15.297944696393362,10.605847131529945,9.44852962709567,2.3208444254395166,98.81928014127863,46.252149833707655,66.29035510812264,0
2,3,2,3,1,1,6,2,3,43.319090531864205,0.23278033091271855,12.434581457169202,6.003341255223226,78.59936639209687,53.63692883933388,23.64113564408705,54.32823786332928,44.5318642285637,1
2,2,0,3,3,0,6,4,0,6.026866512125972,45.13576811637026,57.04399213542602,65.46959364646587,53.68456616909207,86.55618520762836,97.61039241079827,99.40067378644903,32.32977289035062,0
1,1,0,4,4,0,3,6,0,88.47972770961792,62.991091358588335,24.994565813983314,56.207626353154915,10.105913643937459,61.558009546335,14.337110707068302,72.61146109561345,8.181054944188737,1
4,1,2,6,6,1,5,5,3,82.94368124902847,21.193958116127188,44.487813516202976,63.21857941931339,51.354589685128104,53.52523586797094,75.48963681119537,83.78796006548443,63.88123898426477,1
2,1,0,4,1,1,6,7,1,14.768993494939275,12.329914198548797,56.20303411652586,3.310202480234481,46.04054032074482,15.86000017978586,98.42008353868732,8.34676991708514,93.15971474813803,0
4,3,2,6,1,1,0,4,0,70.5561157212258,38.73052463591,2.5540239742473103,44.444515177257,8.33488225568787,5.450925343371882,39.47311563670844,53.6699876891664,49.504926380596935,0
1,2,1,1,2,1,6,5,2,12.307206520280944,53.80636685741946,27.774780661584654,67.18735368835144,53.90893455279419,10.305551313026463,96.22205798819544,75.14233488685946,41.93378369915821,1
3,0,2,0,0,0,2,2,2,75.45199262039777,82.91562288753708,55.33111217894713,13.032753195855573,6.848431505262154,22.66597152678278,10.437190614852431,76.88808366360203,52.369927851636675,0
3,3,2,5,3,1,0,6,2,42.426539309167936,28.25742647854267,35.77808245876702,48.07673007613228,3.261757825850853,80.95448980905452,65.44604307517926,25.658528940808523,18.623803878502386,0
1,1,0,5,5,0,6,2,3,38.97042205315292,85.0758258668056,85.51638456029669,36.4434409257169,25.88762117268474,62.54068444569376,87.2257794260783,57.45574850614765,13.588207537336372,1
4,1,0,0,5,0,1,7,3,22.805349437138634,16.599706338094833,85.91651286542037,24.259862762111194,71.83130032185059,47.10716717847598,68.65939313915638,94.26399811638171,69.31889252028071,1
1,0,1,4,5,0,5,1,1,64.28850273336941,64.76903152785219,52.484997564433876,60.46810495564382,78.99963714772173,1.8968984412336298,94.0909605959905,9.932964516393506,29.59397160871019,0
0,4,1,1,5,0,6,6,3,25.735157283600863,50.888452157382346,88.42609457678974,30.262164198699494,30.445041243423187,38.04144750468551,43.844564933807305,23.544092918326555,95.75451768796297,0
4,1,2,2,0,0,0,2,0,98.80928442913707,6.057035592298421,47.13855247842116,20.518595898034565,66.12178198063441,95.38082639670846,94.25133026545647,88.98757620669552,7.442012104327212,1
2,4,1,4,4,0,4,4,2,8.535511730733214,50.477829272355756,48.83762664068462,24.688137919062815,68.83269574678692,3.040361634726141,79.52198485120275,8.113240666755207,21.117427104532016,0
2,3,0,3,4,0,1,2,3,17.511610976956437,80.25475003719822,24.067212879615806,43.03278880663309,69.9785621345088,20.373190243815497,66.83931324668887,92.91580654921387,90.1510362451824,0
2,3,1,0,6,0,4,1,0,47.609435836829036,43.7492225486142,70.41765214018932,30.33543897814257,22.12194840246443,67.81296544526195,57.892156124657625,95.7617538686124,87.22404254983887,1
4,2,0,1,0,1,1,7,2,34.80558856982918,18.59752594349867,66.85711461607417,82.45003117605619,12.595645889671447,57.36709543416632,93.82991171396115,21.97007961446228,25.03883612181714,0
2,0,0,4,4,1,4,6,2,76.66127869735614,76.06655108912109,16.86418894693813,85.52663397448583,50.506372428578985,78.19898823466114,1.8379471096121147,75.80439809725297,92.90168228016428,1
1,2,2,3,0,1,0,7,1,9.891051639566339,91.74951684019057,30.966021083646723,91.27695374705517,80.74036669197052,53.13038426259011,19.795045493120412,40.17441008521864,86.95580807770267,0
4,3,0,2,1,1,2,3,0,62.541979247846456,50.33009427501448,40.40262344416669,90.00360226200654,1.8807438202328663,56.56430509508055,23.01404460552533,8.357956273486355,43.08818987582732,1
2,1,1,4,4,0,4,4,0,60.64398932465761,21.45795486515033,34.23729301470658,73.18884163322001,10.461698157789645,24.296385011143084,70.57888810857148,16.47378436113983,82.31711368669346,0
2,3,1,1,2,0,3,5,1,41.97269593740713,72.1457180599255,97.56153390425723,43.111114223299396,21.54230557290403,25.829271225849837,46.02564416434988,92.11880582321233,14.855305000429153,0
3,3,1,2,3,0,3,7,0,0.5713081492979888,88.8254552147576,87.06754463101872,33.26820432060311,30.873790567467353,3.1538406521065876,97.9844441606246,10.06251364418368,89.28346876549192,1
4,0,1,2,2,0,5,4,3,97.33530456797033,40.72121480479859,71.23106025059663,92.23117678215367,59.57781777456369,61.71593959248399,89.06365643498721,71.82261757475756,90.52055635339372,1
4,2,1,0,1,1,5,7,1,39.18120135414388,2.6209610742656375,56.11403228387641,39.70497472875888,40.10192740505665,80.5253757231047,96.67827108698317,57.8408489246783,64.27294579568674,1
4,2,2,0,4,0,3,3,0,18.557275255101256,28.9936933054642,8.966461201335674,99.4492339642424,71.14942506111565,95.14650584042536,39.805145183977906,98.68437631697002,93.68768870619458,1
4,0,0,2,1,0,3,0,0,14.256301649864856,18.754865177316947,84.64177209995502,61.449307256564786,88.1665934331642,74.59932548874399,24.589835824575246,66.91800141651196,8.992243813985079,0
4,0,2,4,3,1,0,3,3,72.31778658823085,92.3705679100795,92.05962686298321,40.77894385710056,75.78949788934892,56.05306298020596,93.93000928255371,15.912124024485475,2.1289602966427346,1
1,2,2,1,4,0,4,2,1,49.56584452229782,60.280667863264426,39.01009658753129,86.22510370946931,60.805226010819815,80.27642325924185,63.92592934166499,51.3772576183104,12.705958774651904,0
4,3,0,0,6,0,3,6,2,40.535284202671704,34.38268461438256,31.936710993160556,45.12364200835537,17.417649418873072,19.538855960128288,15.645516049662067,41.74688943096281,34.27386292065603,1
1,4,2,0,2,1,4,5,1,5.810745365852121,24.965116459381598,50.91669874891639,82.09075989034419,94.38527823589381,40.14112487068209,63.15134443235916,94.88881641803539,41.373899706659344,0
3,3,1,0,4,0,4,0,1,8.084853902470002,22.258585914263527,2.609612780066106,22.251908075439776,79.0071558234788,40.79303751252764,41.50974820757878,75.33296731477063,61.44260128414025,0
4,2,2,4,1,0,1,2,3,14.2427924731801,56.94313226911179,66.38979015602932,88.75524214427297,66.13773733176517,85.00591736419175,51.4139719362875,27.537341333951883,16.975272873170123,0
2,4,0,6,4,1,5,5,1,84.29280665088234,20.229998242903957,60.61648457161266,39.212916376190165,64.47547795405323,2.733422955072151,39.59231092835272,94.79727992392513,88.26803633253303,0
0,0,0,0,4,0,6,1,2,86.04692630722649,45.881771563452645,68.81610087678787,17.394946506153786,77.43337882125884,87.63332059245408,21.139425405914793,7.464418888022617,97.82402126557768,0
0,3,0,6,0,1,5,1,0,27.42869346493547,22.72003136057421,14.235351969732712,84.40974227624201,71.71539549484113,95.38406986057367,2.2950158685257183,32.39685037423132,50.070318836034176,1
0,1,2,0,6,1,0,7,2,71.12365789121034,37.07003174504875,63.43688617418254,83.80425618128568,96.2108133942853,34.08477633930871,66.72204847198351,2.639935779531588,76.12002504781447,1
0,0,1,0,4,0,1,4,1,7.218675143952991,25.59355007812041,44.577111286779235,67.61002449075275,63.308207381242795,9.368964420103975,61.960165893915864,29.170930722402378,39.16048805437501,1
2,0,1,6,6,1,6,5,3,96.15380692846068,62.42749039726833,18.571227993123752,20.870668009196024,66.04534096567818,70.12816994258418,5.210260332797956,27.135583277974785,88.11223073162388,0
4,4,0,1,5,0,2,7,3,99.21684892075437,85.49858130485529,12.092552703991256,86.70159063539778,83.69105516349926,66.51585373229277,22.938483541549548,25.195793575199943,13.215137827329704,0
4,2,2,6,5,0,3,4,3,33.81680101737481,24.189364477585272,89.09297573346664,73.82663580853297,39.94680464071237,42.22384734393728,11.180893314860473,60.552440189533804,63.28346324727067,0
0,2,1,0,3,0,4,2,0,99.38290876906576,93.02851800847087,24.328744782081568,3.099487574771087,95.25957474072061,65.82074866718561,62.81177444854347,1.6764460197747244,92.92797000352618,1
1,0,0,2,0,1,1,0,0,79.1959313585616,85.93309696089302,60.30305504670789,39.25048876198457,16.376923170762836,50.39223983166693,40.39777978774387,60.74435843737863,41.46576159804668,0
2,0,0,0,6,0,1,3,2,14.441178096674479,62.453322509534146,58.58368404183313,70.84398746812164,52.411846269859076,66.26918587296065,91.10693925747161,11.243723257529625,46.65973958934872,1
0,0,0,2,1,1,3,7,1,79.50063805390828,41.883603863415786,7.986834084297234,16.846777260616985,7.3880539886023495,88.85465710780058,51.88504265210428,28.546230635069115,79.01436413024209,1
4,4,2,6,5,0,2,4,2,78.80735247582054,49.20326495091204,99.39193093632659,99.41100767310803,45.13234359656415,60.045168215314405,48.24664618396546,70.62759324663139,39.06278678250196,1
0,0,0,6,3,1,2,1,0,40.327627938196386,67.49942219160235,90.38951263541041,67.20344277891168,16.589277024322634,52.46238587178447,32.50940682231027,49.64250109958521,8.131698795769227,1
3,0,0,3,5,0,5,7,1,83.39573087312284,1.7971011779088664,68.47953953075198,78.23443070223698,35.78240263808522,34.45641713101123,12.016385373475668,7.147674035451024,17.031680422331863,1
3,4,1,5,4,0,4,6,1,44.309717253799896,47.80850603599476,25.299766862115113,65.48608189644565,0.2419276044101526,81.86802912661125,23.12093329911793,54.064073152864076,56.49381950186895,1
1,2,2,4,3,0,0,1,2,79.8549061182313,15.900579954239923,0.9519100865266195,33.238059617150284,23.65471216928009,20.957800814824513,47.234682937867966,58.32718224446546,85.28381787926944,1
0,0,0,5,1,0,1,6,2,29.7249834215522,96.42991696362076,27.55464215537099,52.41787252460593,43.95051193677669,40.76582896761739,78.53856930046229,80.94806933671379,85.55476063126817,1
1,4,0,0,6,0,6,1,3,74.647114900669,71.34464461840906,74.99980168632,99.56290877045953,35.51111854452525,44.69285529556124,75.25035787638052,23.077752824631716,43.329966952209986,1
3,1,0,2,2,1,3,0,2,38.73012454860157,60.06248187773273,41.916798369299826,27.375154279407898,8.155206388721325,74.03681456423843,38.42131225137108,16.68676379808144,46.04310458959282,1
2,2,2,0,3,0,3,6,0,63.21060863959329,24.99200119344206,17.19928177946073,53.48422839076628,14.144086569392977,25.03491122548198,74.8006877529112,4.400429491645652,36.148019674100254,0
3,2,1,3,5,0,0,5,0,86.75748351851517,58.17089371715526,78.72110922196617,37.50117772728999,40.116952814854066,13.373217787646984,86.76170354276668,9.638357261228025,7.974700572430937,0
3,1,0,2,0,1,5,4,1,14.958517645353886,93.70754349367546,89.93752091404865,61.33752042307361,51.88775887651317,13.274563545737061,8.045702468777149,86.67356228723355,69.21171051385018,1
3,4,2,2,4,0,6,4,3,94.96034777401545,23.555298287797598,61.61003903382487,26.23349922390188,97.94881514060877,95.2068867617277,83.33657459224999,10.553732979220953,78.44326945434206,1
0,1,2,0,2,0,0,4,3,23.762497419445573,62.361792120478455,45.238387369317635,89.00886780923211,49.18918438141805,70.42664021699375,78.22568832025259,61.16264994059958,34.75979729368157,0
3,2,0,5,1,1,2,7,3,93.10770387755004,3.3449507421203895,68.61244512615087,48.738672123740734,83.21915717600325,26.167876813453915,65.38600786102353,48.722733853997525,99.4183715024768,1
2,2,2,5,2,1,4,0,3,92.82851597755493,63.99269486899176,9.975410978313171,85.24369384253733,36.12487954230082,88.68419251572942,20.885026668891193,0.5608958280078125,19.63853541302344,1
1,3,2,4,2,0,0,5,2,63.28937200772924,60.4270415448195,68.69089094611628,43.02581558472646,47.38529937931525,93.38090857465386,62.50362729947268,80.87424516129228,50.62997488547168,1
3,4,1,2,5,0,6,1,2,10.373539500317829,76.8096353219146,56.15476703221073,94.19716100735145,35.78611443443812,91.51045505814842,73.65372347787928,67.41887463354605,93.13260423891695,0
0,3,0,5,4,0,4,7,0,70.36810711088575,16.425573812834905,19.181365893418732,53.51334907219276,58.06314964665108,15.415528352387708,97.59924308199712,4.63568741138165,5.07897550930686,0
0,4,0,4,6,1,3,6,2,63.74469277895998,13.645572285565155,8.285271729122245,92.41995333907177,10.50651881781235,8.873770436116335,76.22516894518614,96.37118994452685,57.67145427451567,0
4,2,2,5,1,1,5,7,1,44.20815900278099,41.80823308798832,94.78031063736769,10.385609600839075,23.364418884478766,29.01014788663463,28.56008170915445,88.8298895492764,36.53149973201234,0
0,4,1,5,0,0,6,7,1,29.533069884267572,31.79126450246215,81.81128213381595,64.38118634965006,87.77319494245533,23.12969832812185,13.165968018518404,87.2594102521207,69.62222352378838,0
3,4,2,5,2,1,3,5,3,40.309236588650556,9.484911779290083,98.91688067093418,23.959167097091505,42.83998289084002,42.98760343743664,71.94712439683585,54.58591269389038,57.40157368223527,1
3,0,0,5,2,0,2,4,1,62.408298337382796,55.36776539168298,97.55583174426702,1.9131385105155552,80.49449093455723,46.15220763562462,91.88051228031351,69.96780864950429,99.3484023413109,1
2,3,2,6,5,1,4,7,0,78.66817742270173,36.59416359063506,63.25062426352309,81.70878488699776,43.39916111104137,80.20217291353374,39.06231837130771,45.758717004247295,52.684033280008165,1
4,0,2,5,1,0,5,5,2,16.76161101857946,49.10847177651164,57.04805968466135,99.88292134951413,18.62035654419354,89.70312081642471,70.0137459163372,67.45003648973183,86.58287474481592,0
3,1,1,0,2,0,3,4,1,53.684620967029026,48.91004220613724,44.64524871370785,18.67801118974163,2.5237160010688986,14.431226333884462,98.64963495554689,69.33792056981194,11.555816617976177,1
4,2,0,3,4,0,1,1,3,73.53715024872042,82.33170479477779,18.034150637374868,13.803502978465366,99.793847723038,76.60867001779131,34.71929595062394,51.36408746851209,74.37503628336019,0
1,0,0,6,5,0,3,5,3,22.762822689282913,54.766768938323864,33.145601349579266,21.456454084843045,34.78082262485353,13.04155010047271,37.95884409796154,92.31669354102262,3.9141893923014037,0
0,3,2,1,4,1,1,1,3,1.654958238995874,46.60209019238324,12.273772802555005,65.69226967072652,20.921630680506098,69.3797343344852,75.18801097061751,56.20112950518242,58.70857814136544,0
0,0,0,1,4,1,4,6,2,72.83848957138109,21.07218585385654,49.18015129597858,53.272972010153886,21.344296330241953,20.019991828918737,77.80222658905863,92.61853127949328,7.900693879055476,0
3,1,2,1,4,1,1,7,3,31.752279643002403,78.09960875464186,8.747668066460646,92.7353306381242,87.25288455947374,64.27493671520044,8.96742755677533,54.345542281960334,92.12052243733207,0
2,3,0,2,1,1,3,7,1,88.67672321891499,86.630392910525,73.4539320526455,79.80742315446757,88.38689302734105,72.08128633991306,48.48876200437554,21.415557944530185,14.616539750912139,0
1,3,2,5,2,0,4,0,3,45.22057036890704,65.71497830840568,71.49896739335291,10.52393157577991,32.067560270550096,61.09026337197771,25.419518372883587,50.77560956381282,94.07115742820356,1
0,1,2,4,2,0,2,4,1,4.300021142867982,47.3965420575795,45.94017891016284,22.88459365086507,1.7924428007068394,45.514872938855945,83.40943187035494,49.64603928234246,85.97872433866577,1
