cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,target
1,4,1,7,35.75028599148108,54.586702506395945,58.54384172160189,49.34431173796197,48.330007216169044,1
5,1,5,7,62.21926587326018,79.17036024144403,57.867334992758856,86.12405023305277,46.14174524044574,0
1,1,6,5,69.9762916877015,74.04872455252345,26.04436791645438,44.95579935263324,17.407671509631186,1
8,1,4,9,83.3237274957159,27.085637258150086,46.91130774177816,45.95018569659411,31.276046576391913,1
8,4,5,5,0.8747130467815611,79.67969784431068,63.49704075250272,82.38655464533521,90.92527333376043,0
7,4,2,3,26.73703683618823,37.09894332891849,28.266762257466116,62.507535682578016,17.380780523252636,1
0,4,2,4,40.385994501513665,6.736050107554825,19.685071182919632,52.939481866853775,90.82077520123185,0
0,1,6,2,24.746711502816186,12.932785198004948,27.105411064053353,34.36922822138049,63.523949891829815,1
9,4,1,8,31.1985954034918,81.42879541127614,56.78435385063017,36.054582192931115,9.605377102534064,1
1,0,1,6,75.97781562899003,3.5931515202290987,1.0902544271352288,5.03185968437646,88.72824979708494,0
7,2,6,2,15.214003561775613,40.45875953193946,73.7653503869727,75.48371224697952,12.1583344270765,1
8,3,3,4,93.35777285675411,31.131789500710163,32.62313755100169,41.49227242349749,88.20518040567997,1
7,3,1,9,24.60454181088364,71.16946726535461,57.354987386731814,66.98230201766704,34.09370504387108,0
4,4,0,3,82.24678839738995,80.92522120313504,55.00036499338863,87.75122497139684,60.428032930648826,1
0,0,1,2,23.27558692207383,4.543020183417735,35.528063092670614,58.253878387655824,20.55215197592598,1
0,0,0,7,97.68273472932162,67.09192975560615,45.482871902950684,74.05563964830708,69.6724895700134,1
4,1,7,3,93.8226634642503,90.15613355536746,74.15158414136968,9.995899902643146,28.605915640051826,1
3,4,6,7,40.1107901870658,70.36607034975555,5.219995586454907,66.21606983848157,37.10541147648375,0
0,1,1,7,48.07576818236657,35.41847215711494,96.78085270398381,80.8362924989208,30.56514645434398,0
8,2,1,5,21.726168402178303,56.09097434776864,76.15228690645642,70.13665531774589,43.891192817472415,1
2,2,7,7,85.972017081907,45.7756838742384,0.4017999614526646,53.72050895640383,72.16521344104476,0
7,1,0,4,32.60322774567157,22.288324639297585,81.34306442259248,16.796740605927152,3.9501455368747718,0
2,4,2,2,78.0574264589656,61.779641274837914,84.8903244855813,5.086064644248378,57.8958184917158,1
1,1,7,0,50.89881849780645,71.36841695322997,76.09885587521565,58.79961008675701,45.089500300804985,0
3,4,6,5,92.66230062253575,44.6803528633949,66.64563219064291,91.30082166947564,24.067681411883747,1
2,0,2,2,16.494585827418394,80.4040070869124,51.69013096189581,5.976331855206684,71.0293103001097,1
4,0,3,8,41.124657666858134,73.36700924113974,50.81246526966289,19.48105078904471,94.61470666313477,0
1,1,2,3,55.38926651659788,3.5354963439798714,23.00342117962284,5.740606916378166,21.18536948484957,0
2,0,3,9,22.720317330431882,85.37225309623719,96.21411783592518,81.6457032834224,32.45893669490639,0
2,0,7,6,95.53408520272566,81.0819264437811,30.54364288015329,71.5139134931752,75.76953641977818,1
7,2,1,7,95.81575788236036,19.049066208958585,88.10297951957138,63.51552156224338,47.878986768695256,1
3,3,6,7,58.03112079028738,98.66264729932257,33.824730310360465,87.5069810109879,94.89136543640862,1
4,3,0,6,66.35754710739427,11.437491297335555,17.669943770190912,15.362063436533614,42.491199209898134,1
1,4,5,9,67.94476424222083,45.3056887417535,6.290184962376754,74.20733308102645,33.53232027900036,1
6,4,4,7,16.845116161108177,37.01221181864297,18.009427038706114,85.07673503991421,56.4944217454903,1
7,3,7,9,7.169130218910091,31.170293470981992,66.15214042805326,92.33981212903085,13.848846904987477,0
9,2,0,2,17.824156788116174,36.19899265685939,72.17655068138393,0.5552046229815644,5.92464073009995,0
1,2,3,9,20.472518442469223,14.7061107079548,55.08265803603525,75.25309579838397,56.72295992985097,1
0,3,1,4,18.470823997953655,96.23424504029595,33.27260980131662,16.640702931526352,53.008249211292416,0
0,4,3,2,21.147613047085002,77.31177285869958,68.71697656510824,46.5818786096007,56.16198341329165,1
5,1,4,6,64.85045230661143,70.37364857216758,7.372523804007014,1.1464956695490525,81.1454902881713,0
8,2,1,7,86.11116538097289,24.311229069110706,55.64599505503484,60.69777068360595,45.831593601623425,0
4,4,3,9,84.405017110963,15.101205703342979,77.95300132165742,17.710942681669863,29.4296266555346,0
8,2,0,0,34.050616485518404,75.98975693452579,87.75583795471063,41.006428636419024,88.88318122098532,0
8,1,1,2,86.51692649609745,62.74262716412532,13.13747697838733,41.24879224911066,65.67050074804952,1
3,3,1,1,45.99824635951533,34.28023402029242,18.387512762340354,35.74168455944928,43.775847546992516,1
4,4,7,3,11.730506219138547,78.95860917879656,20.821486431914206,95.08102733091107,85.77836681105983,1
9,1,2,0,31.28264586685563,16.605367495624556,83.50667156378684,40.67141946159186,10.87746119124613,0
2,3,5,3,75.86585860901074,68.54604643174763,53.180206490077886,90.58093915644866,90.76782046474662,1
5,2,2,9,4.781813625357046,87.5992057860758,75.03734584141777,63.44927039508372,75.45543577500416,0
4,1,2,1,90.57672339635691,99.45430839356032,42.27609843241926,2.8002918815769773,59.67418269910537,0
7,4,1,3,89.21010218502117,64.65493020287485,40.36696991768114,18.64714020870175,38.659604248884705,0
9,2,7,0,57.16969647287288,32.56218864753908,81.47587159177544,13.92566473623259,68.83033715407983,1
1,3,1,8,61.764259242883526,18.498602715643763,92.88063732454968,27.955085261736368,81.11238586698808,0
9,0,7,8,53.49928121621371,23.008349303520028,57.66887659360156,38.676481576554735,42.227502006241366,0
0,1,2,7,30.39726605002112,7.669617586734234,15.470922636961049,96.7651841441414,4.8186712929514925,0
7,1,3,0,99.91758425650394,17.678618917814013,52.8329108305319,91.11849622161469,12.230287501413816,0
4,3,5,3,81.22984828733291,95.02573516582301,43.41845322432818,63.49374054854328,31.72919743976913,1
8,2,3,5,56.675573107733015,98.11336406220647,25.966292145524317,61.527406303438845,51.467114886398704,1
8,0,6,7,94.1269941485202,23.25545855032032,74.07952752940679,75.50531162580921,83.071530940133,1
4,3,3,9,41.64218119773244,38.01821157027969,67.37110655356268,72.15834162402109,28.48878290698863,1
1,4,0,1,43.445020160717085,51.47753625911632,80.45451495223652,87.05310109127885,3.583777495595619,0
4,4,5,1,6.966538398861555,67.65738674158315,14.4549166928286,87.04359736871994,59.156426876222135,0
0,3,3,4,93.10272542826904,16.559186050983598,44.128518123922056,29.414353930111837,65.7596461806291,0
5,3,0,9,17.347104722268547,46.77737792788217,38.35274821581286,48.1837577285685,77.81230137988348,1
6,4,2,8,32.82688623207667,97.50272003983149,92.27805273307125,12.200333587143353,46.57725367407263,1
7,1,7,6,37.83425195749339,81.04526784503052,32.77620345318878,70.48365485472988,90.47083108934062,1
0,4,6,1,84.52513077933173,17.064539602439577,4.691931109765724,45.07045965663593,32.380241561466526,1
7,0,4,7,47.35240267057479,52.22658782908083,60.07124368870777,80.79394596362447,44.05093520332034,1
8,0,4,2,40.82681232982355,66.00054690536882,20.45623577965401,53.48526177481466,62.82398073693574,1
1,0,5,4,15.961457933043722,19.390966097249084,28.250654535974896,57.715718569705686,24.391272596257572,1
5,0,7,7,36.70208666156803,25.810705374744646,32.821464565910105,69.56646193589863,48.78483570676544,0
3,1,3,5,66.94353332907048,62.67546946057876,57.877401085128234,9.33193731281129,39.77773842364143,0
6,1,5,3,22.856758118851705,83.03606728384693,41.584540021288376,43.0658679408332,16.213906620411645,1
9,4,0,6,40.97538437623959,80.59700387073111,54.83655246840557,25.44610748406988,28.06292101908987,0
1,4,1,2,38.70674038672348,78.0766589745466,98.3060338908926,92.78642029094404,93.95568569164847,0
3,2,6,8,55.73706557054011,24.560743358685755,54.34792916178554,97.99940302479715,17.705516553948343,0
7,1,7,5,45.60540080292487,53.643982320204195,4.267091179415083,2.1623797531357902,46.20582265660307,0
4,0,3,8,40.37605902327173,49.16433081258904,87.93023282501292,71.38084705154878,93.18543025070603,1
9,2,4,7,6.944570349950608,90.76890611252256,83.49858603243392,49.1843909400109,89.08282268549698,1
0,0,7,9,38.50109711405793,19.956727608700763,79.65970671681626,79.19057580807068,93.37110255362072,0
8,2,5,0,6.610239646744098,51.86526166123857,49.17267783351351,57.084095068563244,26.61020285524003,0
4,3,1,1,32.18562892936121,90.57930098837286,84.66914941331673,0.981232119634956,15.216309166211184,1
7,4,4,3,38.02942268799703,21.84322750383787,47.26010024040414,35.61908292536682,71.18688112563522,0
8,1,6,6,80.51127964548279,73.91554224135226,79.7563666203161,79.15427902294701,60.24167276589023,0
5,1,1,3,73.65802965753214,30.089785599762052,69.40039230835202,5.484291489376847,22.289257086033775,0
6,2,2,6,90.62981741681672,96.77429072777983,57.66647156437541,27.65248891745563,46.158403168286654,1
7,0,3,7,13.555983104745572,86.09920502645268,7.993392477305616,18.15190030183763,70.60093761431865,0
3,2,4,0,65.34737595244694,10.386300616015099,1.0606149939711318,8.314496420165007,97.85376314740495,1
5,2,4,1,8.911194755071827,28.41442245661996,51.84239081325094,31.510233741435123,79.51786006765136,1
1,3,2,6,4.084151867109642,97.87344560647244,70.30667868498969,69.71176200684737,59.03169931533431,1
8,3,4,4,48.96307605261124,91.2229177343983,25.17750372563451,65.07888157343052,9.060842473526009,0
9,2,0,9,45.49654551649625,70.3518202781002,90.71679482459186,12.607475678128232,94.01816035143217,1
2,4,7,5,66.49183288740971,22.718408087208907,24.95711189631198,36.33350370937435,69.55462001383141,0
9,2,3,4,38.55083108560863,41.02166581695008,23.14022898171929,65.51950816576544,51.843907874424154,1
8,2,7,6,13.628231109506473,37.53739199662201,71.54616214855076,66.88076451955864,1.5402964814457243,0
9,2,4,2,45.90191287701103,81.07817908963611,82.41391042327191,2.014642725497562,94.39591690943385,0
4,1,3,4,3.898987056357739,71.93885534129294,71.26384493527117,28.935983338254402,57.78408731908571,0
5,4,6,9,45.87443278711652,48.39193292150653,58.52411266068154,84.58692514639252,65.8128042894811,1
0,3,4,1,40.136580566903845,87.64294465439178,31.035968638177312,92.28171746291713,17.45454987598172,1
8,2,3,6,49.65557695730377,86.22921563882363,69.88632602491671,65.16212735239833,2.324906555366546,0
7,0,6,6,46.25952461582029,75.09219366365335,48.4306635100944,19.389756705675374,23.313798883816528,0
1,4,0,9,8.232495007351947,14.679960665536719,49.21769196040544,35.00663791824275,6.3742881892063235,1
2,2,6,3,74.16046199029473,64.74595182290095,93.1359206705858,68.03398845341168,82.3941169180567,1
5,0,1,1,75.13640967933276,48.950404089843026,20.871954371205014,93.56911397478241,30.569073052502283,0
2,0,7,3,96.00246764735664,8.656332826504286,27.46899770679958,43.90807815079568,24.208959627526248,1
7,3,3,4,41.63769083180646,49.944680619014356,29.786078912627868,51.774301351774824,67.52571214789033,0
6,4,4,2,58.974518564022226,96.50287954161591,15.860815624072277,51.43133843527296,37.55501735144847,1
7,0,1,6,62.67345762323283,21.467553186819867,93.30581487071223,16.487301629113272,39.21056681762097,1
9,1,2,7,69.07210556805236,56.299565625044835,95.65762597063755,36.97677195445747,96.02807908984259,1
1,2,5,9,23.851304398487084,34.94066508233723,84.27687449285577,36.74625698311813,31.308423427290688,0
5,4,3,8,17.803362050503612,83.04570051411821,80.23499522762029,35.22974539195914,27.90099476081539,1
7,4,2,7,76.55668945121216,12.91920310897362,75.9699269396732,61.15557727835538,67.80312945275446,1
5,1,5,6,61.185782938737276,70.40082118359877,0.5891256820260815,53.3911162511419,82.66205751045682,0
9,1,1,2,45.25666445189,6.319846984057865,26.840099587332833,79.5848940058232,39.63347647892008,1
7,1,2,3,66.03445571765167,7.205354280254117,34.52884708762621,48.987367492256475,32.414301478021954,1
2,3,1,5,80.6707124885434,88.39057132691583,31.370946231687547,88.26079654545588,51.71670852520628,0
6,0,2,3,17.88097570218481,4.935790333151591,84.95513005623081,22.793565006698714,27.718804886677272,1
4,3,7,8,44.91899451570046,23.605142148159295,17.910218424413483,32.74691853715943,95.48056701332742,0
8,1,5,9,97.54075663006604,40.70545182440469,68.6039504312923,78.32116232082514,30.241431000198205,1
4,2,7,0,53.91069555510162,59.422744809139324,63.44211051523153,86.72086737129673,73.24203639527161,1
9,0,3,5,20.4770018694829,29.064971363563807,5.309096145303749,66.17170596027523,20.406696202608043,0
3,2,2,1,57.751123841830676,55.04165144256997,80.61793676581883,73.40660803066147,78.98595678654357,0
8,1,0,1,98.74524473513908,43.89053781106023,89.10316391332087,72.24901861645411,75.90089306864189,0
5,1,2,5,32.91774379362899,33.841560068635104,9.007565935636075,78.81604919350286,14.791057766823313,0
6,0,6,5,47.25656902753103,59.41812432604057,10.262546275270934,35.3042622851525,88.32730013989949,1
3,2,4,7,20.535654119956305,0.082332108976646,67.545806898278,45.73885386130421,26.081917463529326,1
8,2,5,5,74.42493153140349,81.55846534189816,11.032814698445248,69.86412847865348,32.0525014104858,0
4,1,4,0,26.58555949260727,3.706512025148201,82.76212675835029,64.34564718897384,14.916416638274821,1
2,4,4,3,78.13961147159081,55.22475029866213,1.0978093541969436,73.07824467782235,41.885234723450736,0
7,3,2,3,3.7193730340203457,34.322073754669205,40.54603037394152,0.15088474589528555,58.260392612542375,1
7,2,3,0,67.54522870278632,32.89501839010711,48.10616545807107,32.02579500559729,57.46574024064479,1
2,1,6,7,55.41111277789476,73.96544778496917,87.27237752262684,0.2783918356903503,92.2885191785267,1
2,3,3,6,53.648866971103494,94.00821908255476,76.67193590887233,24.787940160059165,8.529895337143811,1
0,0,4,8,16.458893349921933,50.8014547799707,0.7762003995681277,55.86734769559081,59.59361078900838,1
7,2,0,1,2.204127403997669,14.689962542269763,8.428587670425037,57.99859759123349,84.16986196377735,0
5,3,5,8,42.832751512005004,31.69464073787206,61.530476269953304,54.02839614340525,50.524176831987454,0
0,4,6,3,80.96095733104205,48.852141905637026,31.37762474714243,16.863961836306363,48.07986602766601,1
3,1,7,8,95.22028213943939,15.495374499568172,52.12526881835188,29.341012585482574,28.791832258809237,0
3,0,4,3,87.86784834148025,20.492120291205516,54.17766956688863,83.1069906199149,58.4096954023431,0
5,3,7,4,88.17815931580984,41.71517665933394,35.91651302378249,97.86249921677548,79.06873642426356,1
5,1,3,0,12.890705183828576,97.39248353695005,55.98280067814735,20.167920745504365,96.98297895996126,1
4,0,2,4,71.09592410919441,14.301517381327034,52.23571952407382,58.3761490749817,26.346664992533864,0
7,2,0,7,81.48919632648546,79.41531948745887,75.44014868064141,50.76541096739725,94.84746927038417,1
2,2,6,9,95.73183496988595,24.077616571614293,93.90038035668415,44.18019673282101,65.88306531257494,0
2,0,7,3,49.47863946900585,84.36369105024009,98.61909890908964,15.880637407542253,81.50426909439055,1
6,4,1,9,62.012480631296526,82.32321949728468,92.35344254530953,58.117424048768875,44.56354135877223,1
6,2,4,5,85.3907398975487,65.31923322174987,44.408979040283405,32.261676760037616,39.95874740714509,0
3,2,3,9,46.04121534398099,64.0620103414374,59.622860451825346,5.2943708941034835,62.12725972372102,1
6,3,0,3,74.53666619622702,70.81583593517364,83.17780309274873,96.15059611184412,51.02499516158595,1
7,2,0,9,74.46471752517485,73.5343858444719,82.28596924826071,29.81859927086935,95.40993757321716,1
7,3,5,4,1.3136083622528272,4.875558404108615,30.050758905801633,51.61150070809206,59.06264464595614,0
0,3,3,7,48.79370559198204,76.93434682809378,64.5235387366847,34.73476603682046,32.79615646453449,1
8,4,5,7,80.18684055227277,11.556523232872218,44.501018656082124,13.452946047267567,97.20299731554599,0
9,2,3,9,17.511827970362305,26.28285405655332,32.63646749135973,62.42762736893852,43.63825451212079,1
4,4,5,1,76.47322274469943,15.10357181461126,18.656036488637127,75.33996109745415,42.34194124390764,0
5,3,4,5,68.88436829903006,78.40741052012567,25.86495876471101,14.80677615934396,42.18314997301027,1
4,4,5,4,12.799276623296517,93.5096944635211,61.158651941244976,14.95419949142941,95.3511741933844,0
5,1,1,0,43.451446000197514,7.868378113504571,32.229578220187804,94.80960317734971,68.45477734603487,1
0,3,6,0,22.928808924113596,97.21581339452922,68.06093050252255,9.368819531521389,8.657967107425913,0
3,2,3,1,79.5711705383258,7.9203687043144955,82.64213598694506,64.17056583439211,33.42185241002553,0
5,4,0,4,15.599400593674629,70.22528041174068,13.936367793382997,30.51143323141249,82.91870876479408,0
4,3,5,2,27.837704710160015,9.576457155520856,81.4348911023432,79.31129102476191,79.31892505782498,0
2,3,1,5,99.97888798320017,27.96688795729879,62.06936037641275,25.023326709832606,65.38165583311152,0
5,4,0,3,43.87429454737968,16.89578207763769,81.7393420106486,56.50224533229616,72.04949573018705,0
1,4,5,3,20.93148600070127,1.209883355070196,10.908083628584563,41.2814855159238,39.51562144221632,1
7,2,0,9,81.63339360024858,94.57189098693141,58.23287736432751,70.72276189380466,82.76767161445613,1
9,3,2,4,62.041324733049905,64.61015776123217,65.83899497454189,25.435779699692418,5.064697426512921,1
6,4,4,2,55.88154535569336,90.49728819350507,97.58429122625392,21.728603696979853,67.2570721210793,1
0,4,7,1,69.84310074157631,92.0512371736099,7.158686947498727,80.72539845223197,12.160670784087458,1
1,3,3,7,20.09819765482118,86.08934337011786,22.36862161219113,63.65922418158816,3.1976574624344667,1
7,0,7,8,51.996063335033284,19.735198630845964,55.49305310490412,27.39246444283614,25.14810988876284,0
0,2,1,8,20.80675233336636,20.597123787456574,68.76005043196977,3.345490643754312,55.586893207305245,0
3,2,2,2,98.56362209913293,84.90310664795126,84.77410723767174,48.29353103902514,91.97569062394369,1
7,2,4,3,38.97915934832932,71.39591217250883,44.42394977761228,53.10170242188123,52.63248046198484,1
9,0,2,2,81.4862431872688,3.1023575064617614,82.24575676579276,70.72666993243121,2.123276460771084,1
3,4,3,9,97.49290575037244,47.27492493342397,87.115079892909,2.1813405748422388,10.434314283768831,1
5,1,2,6,15.120592631867147,98.53708981532174,88.17933130133618,98.99656542820368,1.5489938177497664,0
6,2,4,8,46.693922579669966,35.57325368861809,53.72636328653435,31.552072380055062,67.38989412655447,1
1,2,2,3,60.89756626849007,26.941102011200226,38.133787497101565,84.92346744003663,35.47353033804601,1
5,1,1,0,40.14715223133612,88.87259356507367,89.1751711533977,42.59709054099707,7.427230783934402,0
3,4,3,8,41.13562339815006,98.19048835538699,21.091613124304953,25.545516131473622,59.307213184053985,0
6,0,3,8,46.15567577990362,26.281072020820552,80.39101896605263,52.46565324774368,5.384586008103954,0
8,0,2,7,54.04083544958721,91.39015914015151,77.58929905339095,8.295942914491782,57.513416067124176,0
5,3,5,1,42.89314945032565,19.005264471095384,68.40061374572507,65.93757860167963,73.45144495946933,0
6,2,0,7,75.44156417548822,75.98171994562487,32.12152752490661,37.656103287983534,6.017213140291766,1
7,1,4,4,44.256398215327685,8.938391897795183,22.995816367389608,48.71471815075851,30.95000562260567,0
0,4,1,2,35.536019666921284,16.2264037717054,38.80459996513033,63.35193853040788,22.48699414601457,1
2,3,0,0,46.420259389981624,77.55285267796243,11.66321613107283,17.939178306229987,67.18010843120665,0
1,0,0,0,15.483384260519239,46.09971374382342,59.66778034313148,72.15839849186536,72.32734786436427,0
6,2,2,7,95.92765340685801,27.910683549245153,68.83209505112393,77.91922048142705,46.32480898504745,1
2,2,0,3,14.644198215444938,82.33076300340699,74.7589926249897,9.64426872407973,77.31071000445584,1
2,0,6,8,60.42774788002531,63.42459827966272,9.1992201452337,64.35715030892042,35.29000374811277,0
5,1,3,9,31.87623506960494,18.225636706914106,54.78172370932985,25.87684099824097,90.004961428849,1
7,3,5,0,79.33232393765019,86.1693946004665,97.86487423460555,23.592747282849345,22.53877897574056,0
1,4,0,7,55.131498251851696,34.91088148499131,59.053584088149734,53.19974240564477,3.133232693769983,0
4,3,3,7,21.987388616775625,66.33252372618091,8.118391508533772,72.8641305451417,77.6088173102525,0
7,3,4,4,23.041821262281726,22.030339157025224,68.27461235529117,83.39326923492364,82.29923738935783,1
9,1,0,5,45.4697690990419,14.062883365575773,3.7781772791157353,32.16357869560321,84.98158035366608,0
3,0,0,7,95.04283523899193,1.2827176186774092,82.46817458173908,77.90767072740033,5.907330003027855,1
